"age.at.death";"age";"alive";"male";"height";"weight"
NA;0;1;0;NA;NA
NA;3;1;0;81.5848;10.659412
NA;0;1;1;NA;NA
NA;41;1;1;NA;NA
NA;31;1;0;NA;NA
NA;10;1;0;NA;NA
NA;5;1;1;NA;NA
NA;1;1;0;NA;NA
NA;0;1;0;NA;NA
NA;44;1;1;154.94;44.111822
NA;33;1;0;156.21;44.0267735
NA;15;1;1;132.715;24.9759095
NA;12;1;0;125.095;22.5945515
NA;5;1;0;101.6;14.344847
NA;41;1;1;160.655;47.8823055
37.4;37.4;0;0;146.05;39.405805
NA;13;1;0;132.715;24.777463
6;6;0;0;87.63;10.659412
NA;53;1;1;156.21;41.050076
NA;49;1;0;152.4;40.82328
3.5;3.5;0;0;NA;3.742134
NA;NA;1;NA;NA;NA
NA;27;1;0;162.56;47.0318205
NA;7;1;1;114.935;17.519991
NA;1;1;0;67.945;7.2291225
NA;31;1;0;142.875;34.246196
NA;1;1;1;76.835;8.0229085
NA;7;1;1;NA;NA
NA;17;1;1;145.415;31.127751
NA;27;1;1;NA;NA
NA;23;1;0;NA;NA
NA;0;1;1;NA;NA
NA;32;1;1;NA;NA
NA;0;1;0;NA;NA
NA;0;1;0;NA;NA
NA;0;1;1;NA;NA
NA;0;1;1;NA;NA
NA;31;1;1;162.56;52.16308
NA;21;1;0;156.21;54.0624965
NA;0;1;1;71.12;8.051258
68;68;0;1;158.75;52.5316235
NA;5;1;0;NA;NA
NA;2;1;1;NA;NA
NA;0;1;1;NA;NA
NA;24;1;1;NA;NA
NA;0;1;1;NA;NA
NA;67;1;0;NA;NA
NA;29;1;0;NA;NA
NA;12;1;0;NA;NA
NA;8;1;0;NA;NA
NA;5;1;0;NA;NA
NA;1;1;0;NA;NA
NA;23;1;0;NA;NA
NA;4;1;1;NA;NA
NA;1;1;0;NA;NA
NA;38;1;0;NA;NA
NA;8;1;0;NA;NA
