"tooth_class";"specimen";"num_amtl";"sockets";"age";"stdev_age";"prob_male";"genus";"pop"
"Premolar";"BM1939.1021";0;8;20.6073056;3.87558812;1;"Papio";"West Africa"
"Anterior";"BM1962.25";0;12;19.8012926;3.71619727;0;"Papio";"East Africa"
"Posterior";"BM1962.25";0;12;19.8012926;3.71619727;0;"Papio";"East Africa"
"Premolar";"BM1962.25";0;8;19.8012926;3.71619727;0;"Papio";"East Africa"
"Anterior";"BM1964.2174";0;12;19.3982861;3.63654073;0;"Papio";"East Africa"
"Posterior";"BM1964.2174";0;12;19.3982861;3.63654073;0;"Papio";"East Africa"
"Premolar";"BM1964.2174";0;8;19.3982861;3.63654073;0;"Papio";"East Africa"
"Anterior";"BM1971.2353";0;6;22.6223381;4.27445115;1;"Papio";"West Africa"
"Posterior";"BM1971.2353";0;6;22.6223381;4.27445115;1;"Papio";"West Africa"
"Premolar";"BM1971.2353";0;4;22.6223381;4.27445115;1;"Papio";"West Africa"
"Anterior";"BM1971.2354";0;7;21.0103121;3.95531929;1;"Papio";"West Africa"
"Posterior";"BM1971.2354";0;6;21.0103121;3.95531929;1;"Papio";"West Africa"
"Premolar";"BM1971.2354";0;4;21.0103121;3.95531929;1;"Papio";"West Africa"
"Anterior";"BM1976.1408";0;12;16.3543336;4.65756455;0;"Pongo";"Borneo"
"Posterior";"BM1976.1408";0;13;16.3543336;4.65756455;0;"Pongo";"Borneo"
"Premolar";"BM1976.1408";0;8;16.3543336;4.65756455;0;"Pongo";"Borneo"
"Anterior";"BM1976.1409";0;12;13.9289876;3.80295048;0;"Pongo";"Borneo"
"Posterior";"BM1976.1409";0;12;13.9289876;3.80295048;0;"Pongo";"Borneo"
"Premolar";"BM1976.1409";0;8;13.9289876;3.80295048;0;"Pongo";"Borneo"
"Anterior";"BM1976.1415";0;12;12.2312454;3.20634803;0;"Pongo";"Borneo"
"Posterior";"BM1976.1415";0;12;12.2312454;3.20634803;0;"Pongo";"Borneo"
"Premolar";"BM1976.1415";0;8;12.2312454;3.20634803;0;"Pongo";"Borneo"
"Anterior";"BM1976.1416";0;12;11.5036417;2.95130863;0;"Pongo";"Borneo"
"Posterior";"BM1976.1416";0;11;11.5036417;2.95130863;0;"Pongo";"Borneo"
"Premolar";"BM1976.1416";0;8;11.5036417;2.95130863;0;"Pongo";"Borneo"
"Anterior";"BM1976.1417";0;6;11.2611071;2.86641;0;"Pongo";"Borneo"
"Posterior";"BM1976.1417";0;7;11.2611071;2.86641;0;"Pongo";"Borneo"
"Premolar";"BM1976.1417";0;3;11.2611071;2.86641;0;"Pongo";"Borneo"
"Anterior";"BM1976.1418";0;12;11.2611071;2.86641;0;"Pongo";"Borneo"
"Posterior";"BM1976.1418";0;12;11.2611071;2.86641;0;"Pongo";"Borneo"
"Premolar";"BM1976.1418";0;8;11.2611071;2.86641;0;"Pongo";"Borneo"
"Anterior";"BM1976.1419";0;12;11.2611071;2.86641;0;"Pongo";"Borneo"
"Posterior";"BM1976.1419";0;12;11.2611071;2.86641;0;"Pongo";"Borneo"
"Premolar";"BM1976.1419";0;8;11.2611071;2.86641;0;"Pongo";"Borneo"
"Anterior";"BM1976.1420";0;10;11.0185725;2.78157736;0;"Pongo";"Borneo"
"Posterior";"BM1976.1420";0;12;11.0185725;2.78157736;0;"Pongo";"Borneo"
"Premolar";"BM1976.1420";0;8;11.0185725;2.78157736;0;"Pongo";"Borneo"
"Anterior";"BM1976.1421";0;12;10.7760379;2.69681693;0;"Pongo";"Borneo"
"Posterior";"BM1976.1421";0;12;10.7760379;2.69681693;0;"Pongo";"Borneo"
"Premolar";"BM1976.1421";0;8;10.7760379;2.69681693;0;"Pongo";"Borneo"
"Anterior";"BM1976.1422";0;12;11.7461763;3.03626772;0;"Pongo";"Borneo"
"Posterior";"BM1976.1422";0;12;11.7461763;3.03626772;0;"Pongo";"Borneo"
"Premolar";"BM1976.1422";0;8;11.7461763;3.03626772;0;"Pongo";"Borneo"
"Anterior";"BM1976.1423";0;12;11.2611071;2.86641;0;"Pongo";"Borneo"
"Posterior";"BM1976.1423";0;12;11.2611071;2.86641;0;"Pongo";"Borneo"
"Premolar";"BM1976.1423";0;8;11.2611071;2.86641;0;"Pongo";"Borneo"
"Anterior";"BM1976.1424";0;12;13.686453;3.71761878;1;"Pongo";"Borneo"
"Posterior";"BM1976.1424";0;12;13.686453;3.71761878;1;"Pongo";"Borneo"
"Premolar";"BM1976.1424";0;8;13.686453;3.71761878;1;"Pongo";"Borneo"
"Anterior";"BM1976.1425";0;12;11.5036417;2.95130863;1;"Pongo";"Borneo"
"Posterior";"BM1976.1425";0;13;11.5036417;2.95130863;1;"Pongo";"Borneo"
"Premolar";"BM1976.1425";0;8;11.5036417;2.95130863;1;"Pongo";"Borneo"
"Anterior";"BM1976.1426";0;12;11.9887109;3.12128232;1;"Pongo";"Borneo"
"Posterior";"BM1976.1426";0;12;11.9887109;3.12128232;1;"Pongo";"Borneo"
"Premolar";"BM1976.1426";0;8;11.9887109;3.12128232;1;"Pongo";"Borneo"
"Anterior";"BM1976.1427";0;12;14.4140568;3.97369678;0;"Pongo";"Borneo"
"Posterior";"BM1976.1427";0;12;14.4140568;3.97369678;0;"Pongo";"Borneo"
"Premolar";"BM1976.1427";0;8;14.4140568;3.97369678;0;"Pongo";"Borneo"
"Anterior";"BM1976.1428";0;12;12.7163146;3.37661729;1;"Pongo";"Borneo"
"Posterior";"BM1976.1428";0;12;12.7163146;3.37661729;1;"Pongo";"Borneo"
"Premolar";"BM1976.1428";0;8;12.7163146;3.37661729;1;"Pongo";"Borneo"
"Anterior";"BM1976.1429";0;12;9.80589949;2.35865298;0.5;"Pongo";"Borneo"
"Posterior";"BM1976.1429";0;12;9.80589949;2.35865298;0.5;"Pongo";"Borneo"
"Premolar";"BM1976.1429";0;8;9.80589949;2.35865298;0.5;"Pongo";"Borneo"
"Anterior";"BM1976.1430";0;12;10.5335033;2.61213574;0;"Pongo";"Borneo"
"Posterior";"BM1976.1430";0;12;10.5335033;2.61213574;0;"Pongo";"Borneo"
"Premolar";"BM1976.1430";0;8;10.5335033;2.61213574;0;"Pongo";"Borneo"
"Anterior";"BM1976.1431";0;12;12.47378;3.29146087;1;"Pongo";"Borneo"
"Posterior";"BM1976.1431";0;12;12.47378;3.29146087;1;"Pongo";"Borneo"
"Premolar";"BM1976.1431";0;8;12.47378;3.29146087;1;"Pongo";"Borneo"
"Anterior";"BM1976.1434";0;12;11.5036417;2.95130863;1;"Pongo";"Borneo"
"Posterior";"BM1976.1434";0;12;11.5036417;2.95130863;1;"Pongo";"Borneo"
"Premolar";"BM1976.1434";0;8;11.5036417;2.95130863;1;"Pongo";"Borneo"
"Anterior";"BM1976.1435";0;12;9.0782957;2.10624751;1;"Pongo";"Borneo"
"Posterior";"BM1976.1435";0;12;9.0782957;2.10624751;1;"Pongo";"Borneo"
"Premolar";"BM1976.1435";0;8;9.0782957;2.10624751;1;"Pongo";"Borneo"
"Anterior";"BM1976.1436";0;12;10.7760379;2.69681693;1;"Pongo";"Borneo"
"Posterior";"BM1976.1436";0;12;10.7760379;2.69681693;1;"Pongo";"Borneo"
"Premolar";"BM1976.1436";0;8;10.7760379;2.69681693;1;"Pongo";"Borneo"
"Anterior";"BM1976.1437";0;6;11.2611071;2.86641;1;"Pongo";"Borneo"
"Posterior";"BM1976.1437";0;6;11.2611071;2.86641;1;"Pongo";"Borneo"
"Premolar";"BM1976.1437";0;4;11.2611071;2.86641;1;"Pongo";"Borneo"
"Anterior";"BM1976.1438";0;6;8.83576111;2.02242151;1;"Pongo";"Borneo"
"Posterior";"BM1976.1438";0;6;8.83576111;2.02242151;1;"Pongo";"Borneo"
"Premolar";"BM1976.1438";0;4;8.83576111;2.02242151;1;"Pongo";"Borneo"
"Anterior";"BM1976.1439";0;12;8.59322651;1.93878354;1;"Pongo";"Borneo"
"Posterior";"BM1976.1439";0;12;8.59322651;1.93878354;1;"Pongo";"Borneo"
"Premolar";"BM1976.1439";0;8;8.59322651;1.93878354;1;"Pongo";"Borneo"
"Anterior";"BM1976.1440";0;12;12.2312454;3.20634803;1;"Pongo";"Borneo"
"Posterior";"BM1976.1440";0;12;12.2312454;3.20634803;1;"Pongo";"Borneo"
"Premolar";"BM1976.1440";0;8;12.2312454;3.20634803;1;"Pongo";"Borneo"
"Anterior";"BM1976.1442";0;12;10.7760379;2.69681693;1;"Pongo";"Borneo"
"Posterior";"BM1976.1442";0;12;10.7760379;2.69681693;1;"Pongo";"Borneo"
"Premolar";"BM1976.1442";0;8;10.7760379;2.69681693;1;"Pongo";"Borneo"
"Anterior";"BM1976.1443";0;12;11.7461763;3.03626772;1;"Pongo";"Borneo"
"Posterior";"BM1976.1443";0;14;11.7461763;3.03626772;1;"Pongo";"Borneo"
"Premolar";"BM1976.1443";0;8;11.7461763;3.03626772;1;"Pongo";"Borneo"
"Anterior";"BM50a";0;12;13.0001905;2.29036872;1;"Papio";"East Africa"
"Posterior";"BM50a";0;12;13.0001905;2.29036872;1;"Papio";"East Africa"
"Premolar";"BM50a";0;8;13.0001905;2.29036872;1;"Papio";"East Africa"
"Anterior";"BRK125458";0;6;29.1041325;3.72712188;0.25;"Homo sapiens";"Native Californian"
"Posterior";"BRK125458";1;12;29.1041325;3.72712188;0.25;"Homo sapiens";"Native Californian"
"Premolar";"BRK125458";0;6;29.1041325;3.72712188;0.25;"Homo sapiens";"Native Californian"
"Anterior";"BRK125462";1;12;48.4791205;5.71046472;0.25;"Homo sapiens";"Native Californian"
"Posterior";"BRK125462";7;12;48.4791205;5.71046472;0.25;"Homo sapiens";"Native Californian"
"Premolar";"BRK125462";0;8;48.4791205;5.71046472;0.25;"Homo sapiens";"Native Californian"
"Anterior";"BRK125598";0;11;27.6373976;3.70258313;0.75;"Homo sapiens";"Native Californian"
"Posterior";"BRK125598";0;9;27.6373976;3.70258313;0.75;"Homo sapiens";"Native Californian"
"Premolar";"BRK125598";0;5;27.6373976;3.70258313;0.75;"Homo sapiens";"Native Californian"
"Anterior";"BRK125610";0;12;23.0458795;2.9625106;0.5;"Homo sapiens";"Native Californian"
"Posterior";"BRK125610";1;11;23.0458795;2.9625106;0.5;"Homo sapiens";"Native Californian"
"Premolar";"BRK125610";0;8;23.0458795;2.9625106;0.5;"Homo sapiens";"Native Californian"
"Anterior";"BRK125660";0;12;51.5;12.6;0.75;"Homo sapiens";"Native Californian"
"Posterior";"BRK125660";4;11;51.5;12.6;0.75;"Homo sapiens";"Native Californian"
"Premolar";"BRK125660";1;8;51.5;12.6;0.75;"Homo sapiens";"Native Californian"
"Anterior";"BRK125661";0;12;32.3564578;4.25426601;0.75;"Homo sapiens";"Native Californian"
"Posterior";"BRK125661";0;12;32.3564578;4.25426601;0.75;"Homo sapiens";"Native Californian"
"Premolar";"BRK125661";0;8;32.3564578;4.25426601;0.75;"Homo sapiens";"Native Californian"
"Anterior";"BRK125666";0;6;36.5653494;4.94131337;0.25;"Homo sapiens";"Native Californian"
"Posterior";"BRK125666";0;6;36.5653494;4.94131337;0.25;"Homo sapiens";"Native Californian"
"Premolar";"BRK125666";0;4;36.5653494;4.94131337;0.25;"Homo sapiens";"Native Californian"
"Anterior";"BRK125670";1;10;35.8000964;4.81608016;0.5;"Homo sapiens";"Native Californian"
"Posterior";"BRK125670";0;7;35.8000964;4.81608016;0.5;"Homo sapiens";"Native Californian"
"Premolar";"BRK125670";0;6;35.8000964;4.81608016;0.5;"Homo sapiens";"Native Californian"
"Anterior";"BRK125675";1;12;36.9479759;5.00397466;0.5;"Homo sapiens";"Native Californian"
"Posterior";"BRK125675";4;12;36.9479759;5.00397466;0.5;"Homo sapiens";"Native Californian"
"Premolar";"BRK125675";0;9;36.9479759;5.00397466;0.5;"Homo sapiens";"Native Californian"
"Anterior";"BRK125676";0;9;36.7566627;4.97264041;0.75;"Homo sapiens";"Native Californian"
"Posterior";"BRK125676";0;12;36.7566627;4.97264041;0.75;"Homo sapiens";"Native Californian"
"Premolar";"BRK125676";0;8;36.7566627;4.97264041;0.75;"Homo sapiens";"Native Californian"
"Anterior";"BRK125678";0;12;39.6263614;5.44334199;0.75;"Homo sapiens";"Native Californian"
"Posterior";"BRK125678";1;11;39.6263614;5.44334199;0.75;"Homo sapiens";"Native Californian"
"Premolar";"BRK125678";2;8;39.6263614;5.44334199;0.75;"Homo sapiens";"Native Californian"
"Anterior";"BRK125679";0;12;32.7390843;4.31652929;0.75;"Homo sapiens";"Native Californian"
"Posterior";"BRK125679";0;12;32.7390843;4.31652929;0.75;"Homo sapiens";"Native Californian"
"Premolar";"BRK125679";0;8;32.7390843;4.31652929;0.75;"Homo sapiens";"Native Californian"
"Anterior";"BRK125800";0;10;28.5301928;3.63455838;0.75;"Homo sapiens";"Native Californian"
"Posterior";"BRK125800";0;12;28.5301928;3.63455838;0.75;"Homo sapiens";"Native Californian"
"Premolar";"BRK125800";0;7;28.5301928;3.63455838;0.75;"Homo sapiens";"Native Californian"
"Anterior";"BRK125802";0;7;36.7566627;4.97264041;0.75;"Homo sapiens";"Native Californian"
"Posterior";"BRK125802";2;11;36.7566627;4.97264041;0.75;"Homo sapiens";"Native Californian"
"Premolar";"BRK125802";1;8;36.7566627;4.97264041;0.75;"Homo sapiens";"Native Californian"
"Anterior";"BRK125810";0;12;30.5070964;4.16980327;0.75;"Homo sapiens";"Native Californian"
"Posterior";"BRK125810";1;12;30.5070964;4.16980327;0.75;"Homo sapiens";"Native Californian"
"Premolar";"BRK125810";0;8;30.5070964;4.16980327;0.75;"Homo sapiens";"Native Californian"
"Anterior";"BRK125811";0;10;34.6522169;4.62847197;0.75;"Homo sapiens";"Native Californian"
"Posterior";"BRK125811";0;11;34.6522169;4.62847197;0.75;"Homo sapiens";"Native Californian"
"Premolar";"BRK125811";0;7;34.6522169;4.62847197;0.75;"Homo sapiens";"Native Californian"
"Anterior";"BRK125821";0;12;37.1392892;5.035316;0.75;"Homo sapiens";"Native Californian"
"Posterior";"BRK125821";0;12;37.1392892;5.035316;0.75;"Homo sapiens";"Native Californian"
"Premolar";"BRK125821";0;8;37.1392892;5.035316;0.75;"Homo sapiens";"Native Californian"
"Anterior";"BRK125822";0;12;30.3157831;4.13857528;0.25;"Homo sapiens";"Native Californian"
"Posterior";"BRK125822";0;12;30.3157831;4.13857528;0.25;"Homo sapiens";"Native Californian"
"Premolar";"BRK125822";0;8;30.3157831;4.13857528;0.25;"Homo sapiens";"Native Californian"
"Anterior";"BRK125827";0;12;27.5736265;3.48066219;0.75;"Homo sapiens";"Native Californian"
"Posterior";"BRK125827";0;12;27.5736265;3.48066219;0.75;"Homo sapiens";"Native Californian"
"Premolar";"BRK125827";0;8;27.5736265;3.48066219;0.75;"Homo sapiens";"Native Californian"
"Anterior";"BRK125832";0;6;45.6;10.4;0.75;"Homo sapiens";"Native Californian"
"Posterior";"BRK125832";2;6;45.6;10.4;0.75;"Homo sapiens";"Native Californian"
"Premolar";"BRK125832";0;4;45.6;10.4;0.75;"Homo sapiens";"Native Californian"
"Anterior";"BRK126049";0;12;29.2954458;3.75801123;0.5;"Homo sapiens";"Native Californian"
"Posterior";"BRK126049";0;11;29.2954458;3.75801123;0.5;"Homo sapiens";"Native Californian"
"Premolar";"BRK126049";0;8;29.2954458;3.75801123;0.5;"Homo sapiens";"Native Californian"
"Anterior";"BRK126054";0;6;23.6198193;3.05433283;0.25;"Homo sapiens";"Native Californian"
"Posterior";"BRK126054";0;5;23.6198193;3.05433283;0.25;"Homo sapiens";"Native Californian"
"Premolar";"BRK126054";0;4;23.6198193;3.05433283;0.25;"Homo sapiens";"Native Californian"
"Anterior";"BRK126076";0;6;35.8000964;4.81608016;0.5;"Homo sapiens";"Native Californian"
"Posterior";"BRK126076";0;6;35.8000964;4.81608016;0.5;"Homo sapiens";"Native Californian"
"Premolar";"BRK126076";0;4;35.8000964;4.81608016;0.5;"Homo sapiens";"Native Californian"
"Anterior";"BRK126087";0;12;20.1761807;2.50774612;0.5;"Homo sapiens";"Native Californian"
"Posterior";"BRK126087";0;12;20.1761807;2.50774612;0.5;"Homo sapiens";"Native Californian"
"Premolar";"BRK126087";0;8;20.1761807;2.50774612;0.5;"Homo sapiens";"Native Californian"
"Anterior";"BRK126089";1;12;26.6808313;3.54750963;0.75;"Homo sapiens";"Native Californian"
"Posterior";"BRK126089";3;12;26.6808313;3.54750963;0.75;"Homo sapiens";"Native Californian"
"Premolar";"BRK126089";0;8;26.6808313;3.54750963;0.75;"Homo sapiens";"Native Californian"
"Anterior";"BRK126092";0;12;37.5219157;5.09801939;0.75;"Homo sapiens";"Native Californian"
"Posterior";"BRK126092";0;12;37.5219157;5.09801939;0.75;"Homo sapiens";"Native Californian"
"Premolar";"BRK126092";1;8;37.5219157;5.09801939;0.75;"Homo sapiens";"Native Californian"
"Anterior";"BRK126094";0;12;25.9155783;3.42374303;0.75;"Homo sapiens";"Native Californian"
"Posterior";"BRK126094";0;12;25.9155783;3.42374303;0.75;"Homo sapiens";"Native Californian"
"Premolar";"BRK126094";0;8;25.9155783;3.42374303;0.75;"Homo sapiens";"Native Californian"
"Anterior";"BRK126100";0;12;25.0865542;3.08319431;0.25;"Homo sapiens";"Native Californian"
"Posterior";"BRK126100";4;12;25.0865542;3.08319431;0.25;"Homo sapiens";"Native Californian"
"Premolar";"BRK126100";3;8;25.0865542;3.08319431;0.25;"Homo sapiens";"Native Californian"
"Anterior";"BRK126104";0;12;23.6198193;3.05433283;0.75;"Homo sapiens";"Native Californian"
"Posterior";"BRK126104";0;12;23.6198193;3.05433283;0.75;"Homo sapiens";"Native Californian"
"Premolar";"BRK126104";0;8;23.6198193;3.05433283;0.75;"Homo sapiens";"Native Californian"
"Anterior";"BRK126107";1;12;23.6198193;3.05433283;0.25;"Homo sapiens";"Native Californian"
"Posterior";"BRK126107";4;12;23.6198193;3.05433283;0.25;"Homo sapiens";"Native Californian"
"Premolar";"BRK126107";0;8;23.6198193;3.05433283;0.25;"Homo sapiens";"Native Californian"
"Anterior";"BRK126113";0;12;32.9941687;4.35806278;0.75;"Homo sapiens";"Native Californian"
"Posterior";"BRK126113";0;12;32.9941687;4.35806278;0.75;"Homo sapiens";"Native Californian"
"Premolar";"BRK126113";1;8;32.9941687;4.35806278;0.75;"Homo sapiens";"Native Californian"
"Anterior";"BRK126117";0;12;26.2982048;3.48559185;0.25;"Homo sapiens";"Native Californian"
"Posterior";"BRK126117";0;12;26.2982048;3.48559185;0.25;"Homo sapiens";"Native Californian"
"Premolar";"BRK126117";0;8;26.2982048;3.48559185;0.25;"Homo sapiens";"Native Californian"
"Anterior";"BRK126118";0;12;26.6808313;3.54750963;0.25;"Homo sapiens";"Native Californian"
"Posterior";"BRK126118";0;12;26.6808313;3.54750963;0.25;"Homo sapiens";"Native Californian"
"Premolar";"BRK126118";1;8;26.6808313;3.54750963;0.25;"Homo sapiens";"Native Californian"
"Anterior";"BRK126121";0;12;36.5653494;4.94131337;0.25;"Homo sapiens";"Native Californian"
"Posterior";"BRK126121";1;12;36.5653494;4.94131337;0.25;"Homo sapiens";"Native Californian"
"Premolar";"BRK126121";0;8;36.5653494;4.94131337;0.25;"Homo sapiens";"Native Californian"
"Anterior";"BRK126124";0;12;22.0893133;2.81004779;0.75;"Homo sapiens";"Native Californian"
"Posterior";"BRK126124";0;12;22.0893133;2.81004779;0.75;"Homo sapiens";"Native Californian"
"Premolar";"BRK126124";0;8;22.0893133;2.81004779;0.75;"Homo sapiens";"Native Californian"
"Anterior";"BRK126125";0;5;41.1;10;0.25;"Homo sapiens";"Native Californian"
"Posterior";"BRK126125";3;6;41.1;10;0.25;"Homo sapiens";"Native Californian"
"Premolar";"BRK126125";2;4;41.1;10;0.25;"Homo sapiens";"Native Californian"
"Anterior";"BRK126243";4;10;25.5967229;3.16436617;0.75;"Homo sapiens";"Native Californian"
"Posterior";"BRK126243";8;12;25.5967229;3.16436617;0.75;"Homo sapiens";"Native Californian"
"Premolar";"BRK126243";4;8;25.5967229;3.16436617;0.75;"Homo sapiens";"Native Californian"
"Anterior";"BRK126244";0;11;26.1068916;3.45465859;0.75;"Homo sapiens";"Native Californian"
"Posterior";"BRK126244";0;12;26.1068916;3.45465859;0.75;"Homo sapiens";"Native Californian"
"Premolar";"BRK126244";0;8;26.1068916;3.45465859;0.75;"Homo sapiens";"Native Californian"
"Anterior";"BRK126247";0;12;39.6263614;5.44334199;0.25;"Homo sapiens";"Native Californian"
"Posterior";"BRK126247";0;12;39.6263614;5.44334199;0.25;"Homo sapiens";"Native Californian"
"Premolar";"BRK126247";0;8;39.6263614;5.44334199;0.25;"Homo sapiens";"Native Californian"
"Anterior";"BRK126248";0;12;28.5939639;3.85801676;0.25;"Homo sapiens";"Native Californian"
"Posterior";"BRK126248";0;12;28.5939639;3.85801676;0.25;"Homo sapiens";"Native Californian"
"Premolar";"BRK126248";0;8;28.5939639;3.85801676;0.25;"Homo sapiens";"Native Californian"
"Anterior";"BRK126250";0;12;26.2982048;3.48559185;0.25;"Homo sapiens";"Native Californian"
"Posterior";"BRK126250";0;11;26.2982048;3.48559185;0.25;"Homo sapiens";"Native Californian"
"Premolar";"BRK126250";0;7;26.2982048;3.48559185;0.25;"Homo sapiens";"Native Californian"
"Anterior";"BRK126251";0;12;29.9331566;4.07615043;0.75;"Homo sapiens";"Native Californian"
"Posterior";"BRK126251";0;12;29.9331566;4.07615043;0.75;"Homo sapiens";"Native Californian"
"Premolar";"BRK126251";0;8;29.9331566;4.07615043;0.75;"Homo sapiens";"Native Californian"
"Anterior";"BRK126252";0;12;22.4719398;2.87094128;0.25;"Homo sapiens";"Native Californian"
"Posterior";"BRK126252";0;12;22.4719398;2.87094128;0.25;"Homo sapiens";"Native Californian"
"Premolar";"BRK126252";0;8;22.4719398;2.87094128;0.25;"Homo sapiens";"Native Californian"
"Anterior";"BRK126256";0;12;32.0376024;4.41997173;0.25;"Homo sapiens";"Native Californian"
"Posterior";"BRK126256";0;12;32.0376024;4.41997173;0.25;"Homo sapiens";"Native Californian"
"Premolar";"BRK126256";0;8;32.0376024;4.41997173;0.25;"Homo sapiens";"Native Californian"
"Anterior";"BRK126259";0;12;32.1651446;4.22315152;0.25;"Homo sapiens";"Native Californian"
"Posterior";"BRK126259";0;11;32.1651446;4.22315152;0.25;"Homo sapiens";"Native Californian"
"Premolar";"BRK126259";0;8;32.1651446;4.22315152;0.25;"Homo sapiens";"Native Californian"
"Anterior";"BRK126260";0;12;36.3740361;4.90999368;0.25;"Homo sapiens";"Native Californian"
"Posterior";"BRK126260";1;12;36.3740361;4.90999368;0.25;"Homo sapiens";"Native Californian"
"Premolar";"BRK126260";0;8;36.3740361;4.90999368;0.25;"Homo sapiens";"Native Californian"
"Anterior";"BRK126261";0;12;32.3564578;4.25426601;0.25;"Homo sapiens";"Native Californian"
"Posterior";"BRK126261";0;12;32.3564578;4.25426601;0.25;"Homo sapiens";"Native Californian"
"Premolar";"BRK126261";0;8;32.3564578;4.25426601;0.25;"Homo sapiens";"Native Californian"
"Anterior";"BRK126264";0;12;37.1392892;5.035316;0.25;"Homo sapiens";"Native Californian"
"Posterior";"BRK126264";0;9;37.1392892;5.035316;0.25;"Homo sapiens";"Native Californian"
"Premolar";"BRK126264";0;8;37.1392892;5.035316;0.25;"Homo sapiens";"Native Californian"
"Anterior";"BRK126266";0;12;36.5653494;4.94131337;0.5;"Homo sapiens";"Native Californian"
"Posterior";"BRK126266";6;12;36.5653494;4.94131337;0.5;"Homo sapiens";"Native Californian"
"Premolar";"BRK126266";2;8;36.5653494;4.94131337;0.5;"Homo sapiens";"Native Californian"
"Anterior";"BRK126271";2;11;25.8518072;3.20502776;0.5;"Homo sapiens";"Native Californian"
"Posterior";"BRK126271";4;12;25.8518072;3.20502776;0.5;"Homo sapiens";"Native Californian"
"Premolar";"BRK126271";4;8;25.8518072;3.20502776;0.5;"Homo sapiens";"Native Californian"
"Posterior";"BRK126291";1;7;22.0893133;2.81004779;0.5;"Homo sapiens";"Native Californian"
"Anterior";"BRK126292";0;12;36.5653494;4.94131337;0.5;"Homo sapiens";"Native Californian"
"Posterior";"BRK126292";0;11;36.5653494;4.94131337;0.5;"Homo sapiens";"Native Californian"
"Premolar";"BRK126292";0;8;36.5653494;4.94131337;0.5;"Homo sapiens";"Native Californian"
"Anterior";"BRK126472";0;12;28.5939639;3.85801676;0.25;"Homo sapiens";"Native Californian"
"Posterior";"BRK126472";0;12;28.5939639;3.85801676;0.25;"Homo sapiens";"Native Californian"
"Premolar";"BRK126472";0;8;28.5939639;3.85801676;0.25;"Homo sapiens";"Native Californian"
"Anterior";"BRK126755";0;7;26.1068916;3.45465859;0.75;"Homo sapiens";"Native Californian"
"Posterior";"BRK126755";0;9;26.1068916;3.45465859;0.75;"Homo sapiens";"Native Californian"
"Premolar";"BRK126755";0;6;26.1068916;3.45465859;0.75;"Homo sapiens";"Native Californian"
"Anterior";"BRK126757";0;12;31.6549759;4.14023787;0.75;"Homo sapiens";"Native Californian"
"Posterior";"BRK126757";0;12;31.6549759;4.14023787;0.75;"Homo sapiens";"Native Californian"
"Premolar";"BRK126757";0;8;31.6549759;4.14023787;0.75;"Homo sapiens";"Native Californian"
"Anterior";"BRK126758";0;12;23.6198193;3.05433283;0.25;"Homo sapiens";"Native Californian"
"Posterior";"BRK126758";0;12;23.6198193;3.05433283;0.25;"Homo sapiens";"Native Californian"
"Premolar";"BRK126758";0;8;23.6198193;3.05433283;0.25;"Homo sapiens";"Native Californian"
"Anterior";"BRK126760";0;10;26.2982048;3.48559185;0.75;"Homo sapiens";"Native Californian"
"Posterior";"BRK126760";0;12;26.2982048;3.48559185;0.75;"Homo sapiens";"Native Californian"
"Premolar";"BRK126760";0;8;26.2982048;3.48559185;0.75;"Homo sapiens";"Native Californian"
"Anterior";"BRK126761";1;12;35.8000964;4.81608016;0.75;"Homo sapiens";"Native Californian"
"Posterior";"BRK126761";1;12;35.8000964;4.81608016;0.75;"Homo sapiens";"Native Californian"
"Premolar";"BRK126761";0;8;35.8000964;4.81608016;0.75;"Homo sapiens";"Native Californian"
"Anterior";"BRK126764";0;12;23.2371928;2.99309106;0.75;"Homo sapiens";"Native Californian"
"Posterior";"BRK126764";0;12;23.2371928;2.99309106;0.75;"Homo sapiens";"Native Californian"
"Premolar";"BRK126764";0;8;23.2371928;2.99309106;0.75;"Homo sapiens";"Native Californian"
"Anterior";"BRK126765";0;11;29.7418434;4.04495405;0.5;"Homo sapiens";"Native Californian"
"Posterior";"BRK126765";1;11;29.7418434;4.04495405;0.5;"Homo sapiens";"Native Californian"
"Premolar";"BRK126765";0;8;29.7418434;4.04495405;0.5;"Homo sapiens";"Native Californian"
"Anterior";"BRK126766";0;12;26.6808313;3.54750963;0.75;"Homo sapiens";"Native Californian"
"Posterior";"BRK126766";0;12;26.6808313;3.54750963;0.75;"Homo sapiens";"Native Californian"
"Premolar";"BRK126766";0;8;26.6808313;3.54750963;0.75;"Homo sapiens";"Native Californian"
"Anterior";"BRK126767";0;12;31.2085783;4.06776118;0.75;"Homo sapiens";"Native Californian"
"Posterior";"BRK126767";0;12;31.2085783;4.06776118;0.75;"Homo sapiens";"Native Californian"
"Premolar";"BRK126767";0;8;31.2085783;4.06776118;0.75;"Homo sapiens";"Native Californian"
"Anterior";"BRK126768";1;11;37.3306024;5.06666429;0.25;"Homo sapiens";"Native Californian"
"Posterior";"BRK126768";6;10;37.3306024;5.06666429;0.25;"Homo sapiens";"Native Californian"
"Premolar";"BRK126768";1;7;37.3306024;5.06666429;0.25;"Homo sapiens";"Native Californian"
"Anterior";"BRK126773";0;12;39.6263614;5.44334199;0.75;"Homo sapiens";"Native Californian"
