"case";"response";"order";"id";"age";"male";"edu";"action";"intention";"contact";"story";"action2"
"flboa";6;3;"96;764";52;0;"Bachelor's Degree";0;0;0;"boa";0
"flcar";3;18;"96;764";52;0;"Bachelor's Degree";0;0;0;"car";0
"flche";3;15;"96;764";52;0;"Bachelor's Degree";0;0;0;"che";0
"flsha";5;30;"96;764";52;0;"Bachelor's Degree";0;0;0;"sha";0
"flswi";3;5;"96;764";52;0;"Bachelor's Degree";0;0;0;"swi";0
"ikbox";4;1;"96;764";52;0;"Bachelor's Degree";1;1;0;"box";1
"ikbur";5;13;"96;764";52;0;"Bachelor's Degree";1;1;0;"bur";1
"ikpon";3;20;"96;764";52;0;"Bachelor's Degree";1;1;0;"pon";1
"ikshi";5;17;"96;764";52;0;"Bachelor's Degree";1;1;0;"shi";1
"ikspe";5;28;"96;764";52;0;"Bachelor's Degree";1;1;0;"spe";1
"ilbox";5;10;"96;764";52;0;"Bachelor's Degree";0;1;0;"box";0
"ilche";5;6;"96;764";52;0;"Bachelor's Degree";0;1;0;"che";0
"ilpon";3;11;"96;764";52;0;"Bachelor's Degree";0;1;0;"pon";0
"ilsha";5;21;"96;764";52;0;"Bachelor's Degree";0;1;0;"sha";0
"ilshi";3;26;"96;764";52;0;"Bachelor's Degree";0;1;0;"shi";0
"ilswi";5;24;"96;764";52;0;"Bachelor's Degree";0;1;0;"swi";0
"nfrub";5;7;"96;764";52;0;"Bachelor's Degree";1;0;0;"rub";1
"cfaqu";7;20;"96;767";20;0;"Bachelor's Degree";0;0;1;"aqu";1
"cfbur";5;32;"96;767";20;0;"Bachelor's Degree";0;0;1;"bur";1
"cfrub";4;7;"96;767";20;0;"Bachelor's Degree";0;0;1;"rub";1
"cibox";4;12;"96;767";20;0;"Bachelor's Degree";0;1;1;"box";1
"cibur";5;23;"96;767";20;0;"Bachelor's Degree";0;1;1;"bur";1
"cispe";4;27;"96;767";20;0;"Bachelor's Degree";0;1;1;"spe";1
"fkaqu";7;29;"96;767";20;0;"Bachelor's Degree";1;0;0;"aqu";1
"fkboa";4;11;"96;767";20;0;"Bachelor's Degree";1;0;0;"boa";1
"fkbox";4;22;"96;767";20;0;"Bachelor's Degree";1;0;0;"box";1
"fkbur";7;14;"96;767";20;0;"Bachelor's Degree";1;0;0;"bur";1
"fkcar";4;30;"96;767";20;0;"Bachelor's Degree";1;0;0;"car";1
"fkspe";4;9;"96;767";20;0;"Bachelor's Degree";1;0;0;"spe";1
"fkswi";6;25;"96;767";20;0;"Bachelor's Degree";1;0;0;"swi";1
"flboa";7;2;"96;767";20;0;"Bachelor's Degree";0;0;0;"boa";0
"flcar";7;21;"96;767";20;0;"Bachelor's Degree";0;0;0;"car";0
"flche";7;4;"96;767";20;0;"Bachelor's Degree";0;0;0;"che";0
"flsha";7;28;"96;767";20;0;"Bachelor's Degree";0;0;0;"sha";0
"flswi";7;6;"96;767";20;0;"Bachelor's Degree";0;0;0;"swi";0
"ikbox";4;3;"96;767";20;0;"Bachelor's Degree";1;1;0;"box";1
"ikbur";6;5;"96;767";20;0;"Bachelor's Degree";1;1;0;"bur";1
"ikpon";6;1;"96;767";20;0;"Bachelor's Degree";1;1;0;"pon";1
"ikshi";7;17;"96;767";20;0;"Bachelor's Degree";1;1;0;"shi";1
"ikspe";5;19;"96;767";20;0;"Bachelor's Degree";1;1;0;"spe";1
"ilbox";7;31;"96;767";20;0;"Bachelor's Degree";0;1;0;"box";0
"ilche";7;13;"96;767";20;0;"Bachelor's Degree";0;1;0;"che";0
"ilpon";7;10;"96;767";20;0;"Bachelor's Degree";0;1;0;"pon";0
"ilsha";7;18;"96;767";20;0;"Bachelor's Degree";0;1;0;"sha";0
"ilshi";7;26;"96;767";20;0;"Bachelor's Degree";0;1;0;"shi";0
"ilswi";6;15;"96;767";20;0;"Bachelor's Degree";0;1;0;"swi";0
"nfrub";6;16;"96;767";20;0;"Bachelor's Degree";1;0;0;"rub";1
"cfaqu";7;31;"96;769";43;1;"Master's Degree";0;0;1;"aqu";1
"cfbur";7;2;"96;769";43;1;"Master's Degree";0;0;1;"bur";1
"cfrub";7;17;"96;769";43;1;"Master's Degree";0;0;1;"rub";1
"cibox";2;1;"96;769";43;1;"Master's Degree";0;1;1;"box";1
"cibur";7;29;"96;769";43;1;"Master's Degree";0;1;1;"bur";1
"cispe";2;24;"96;769";43;1;"Master's Degree";0;1;1;"spe";1
"fkaqu";7;4;"96;769";43;1;"Master's Degree";1;0;0;"aqu";1
"fkboa";7;21;"96;769";43;1;"Master's Degree";1;0;0;"boa";1
"fkbox";4;10;"96;769";43;1;"Master's Degree";1;0;0;"box";1
"fkbur";7;11;"96;769";43;1;"Master's Degree";1;0;0;"bur";1
"fkcar";7;6;"96;769";43;1;"Master's Degree";1;0;0;"car";1
"fkspe";6;14;"96;769";43;1;"Master's Degree";1;0;0;"spe";1
"fkswi";7;19;"96;769";43;1;"Master's Degree";1;0;0;"swi";1
"flboa";7;30;"96;769";43;1;"Master's Degree";0;0;0;"boa";0
"flcar";6;15;"96;769";43;1;"Master's Degree";0;0;0;"car";0
"flche";7;18;"96;769";43;1;"Master's Degree";0;0;0;"che";0
"flsha";7;3;"96;769";43;1;"Master's Degree";0;0;0;"sha";0
"flswi";6;28;"96;769";43;1;"Master's Degree";0;0;0;"swi";0
"ikbox";7;32;"96;769";43;1;"Master's Degree";1;1;0;"box";1
"ikbur";7;20;"96;769";43;1;"Master's Degree";1;1;0;"bur";1
"ikpon";7;13;"96;769";43;1;"Master's Degree";1;1;0;"pon";1
"ikshi";7;16;"96;769";43;1;"Master's Degree";1;1;0;"shi";1
"ikspe";6;5;"96;769";43;1;"Master's Degree";1;1;0;"spe";1
"ilbox";6;23;"96;769";43;1;"Master's Degree";0;1;0;"box";0
"ilche";7;27;"96;769";43;1;"Master's Degree";0;1;0;"che";0
"ilpon";6;22;"96;769";43;1;"Master's Degree";0;1;0;"pon";0
"ilsha";7;12;"96;769";43;1;"Master's Degree";0;1;0;"sha";0
"ilshi";7;7;"96;769";43;1;"Master's Degree";0;1;0;"shi";0
"ilswi";6;9;"96;769";43;1;"Master's Degree";0;1;0;"swi";0
"nfrub";7;26;"96;769";43;1;"Master's Degree";1;0;0;"rub";1
"cfaqu";4;20;"96;777";45;0;"Bachelor's Degree";0;0;1;"aqu";1
"cfbur";3;32;"96;777";45;0;"Bachelor's Degree";0;0;1;"bur";1
"cfrub";3;7;"96;777";45;0;"Bachelor's Degree";0;0;1;"rub";1
"cibox";2;12;"96;777";45;0;"Bachelor's Degree";0;1;1;"box";1
"cibur";3;23;"96;777";45;0;"Bachelor's Degree";0;1;1;"bur";1
"cispe";3;27;"96;777";45;0;"Bachelor's Degree";0;1;1;"spe";1
"fkaqu";3;29;"96;777";45;0;"Bachelor's Degree";1;0;0;"aqu";1
"fkboa";3;11;"96;777";45;0;"Bachelor's Degree";1;0;0;"boa";1
"fkbox";4;22;"96;777";45;0;"Bachelor's Degree";1;0;0;"box";1
"fkbur";4;14;"96;777";45;0;"Bachelor's Degree";1;0;0;"bur";1
"fkcar";3;30;"96;777";45;0;"Bachelor's Degree";1;0;0;"car";1
"fkspe";3;9;"96;777";45;0;"Bachelor's Degree";1;0;0;"spe";1
"fkswi";4;25;"96;777";45;0;"Bachelor's Degree";1;0;0;"swi";1
"flboa";4;2;"96;777";45;0;"Bachelor's Degree";0;0;0;"boa";0
"flcar";4;21;"96;777";45;0;"Bachelor's Degree";0;0;0;"car";0
"flche";4;4;"96;777";45;0;"Bachelor's Degree";0;0;0;"che";0
"flsha";4;28;"96;777";45;0;"Bachelor's Degree";0;0;0;"sha";0
"flswi";4;6;"96;777";45;0;"Bachelor's Degree";0;0;0;"swi";0
"ikbox";4;3;"96;777";45;0;"Bachelor's Degree";1;1;0;"box";1
"ikbur";3;5;"96;777";45;0;"Bachelor's Degree";1;1;0;"bur";1
"ikpon";3;1;"96;777";45;0;"Bachelor's Degree";1;1;0;"pon";1
"ikshi";4;17;"96;777";45;0;"Bachelor's Degree";1;1;0;"shi";1
"ikspe";4;19;"96;777";45;0;"Bachelor's Degree";1;1;0;"spe";1
"ilbox";4;31;"96;777";45;0;"Bachelor's Degree";0;1;0;"box";0
"ilche";4;13;"96;777";45;0;"Bachelor's Degree";0;1;0;"che";0
"ilpon";4;10;"96;777";45;0;"Bachelor's Degree";0;1;0;"pon";0
"ilsha";3;18;"96;777";45;0;"Bachelor's Degree";0;1;0;"sha";0
"ilshi";4;26;"96;777";45;0;"Bachelor's Degree";0;1;0;"shi";0
"ilswi";3;15;"96;777";45;0;"Bachelor's Degree";0;1;0;"swi";0
"nfrub";4;16;"96;777";45;0;"Bachelor's Degree";1;0;0;"rub";1
"cfaqu";5;20;"96;782";34;0;"Graduate Degree";0;0;1;"aqu";1
"cfbur";5;32;"96;782";34;0;"Graduate Degree";0;0;1;"bur";1
"cfrub";4;7;"96;782";34;0;"Graduate Degree";0;0;1;"rub";1
"cibox";4;12;"96;782";34;0;"Graduate Degree";0;1;1;"box";1
"cibur";5;23;"96;782";34;0;"Graduate Degree";0;1;1;"bur";1
"cispe";5;27;"96;782";34;0;"Graduate Degree";0;1;1;"spe";1
"fkaqu";5;29;"96;782";34;0;"Graduate Degree";1;0;0;"aqu";1
"fkboa";4;11;"96;782";34;0;"Graduate Degree";1;0;0;"boa";1
"fkbox";5;22;"96;782";34;0;"Graduate Degree";1;0;0;"box";1
"fkbur";5;14;"96;782";34;0;"Graduate Degree";1;0;0;"bur";1
"fkcar";5;30;"96;782";34;0;"Graduate Degree";1;0;0;"car";1
"fkspe";5;9;"96;782";34;0;"Graduate Degree";1;0;0;"spe";1
"fkswi";5;25;"96;782";34;0;"Graduate Degree";1;0;0;"swi";1
"flboa";5;2;"96;782";34;0;"Graduate Degree";0;0;0;"boa";0
"flcar";5;21;"96;782";34;0;"Graduate Degree";0;0;0;"car";0
"flche";5;4;"96;782";34;0;"Graduate Degree";0;0;0;"che";0
"flsha";5;28;"96;782";34;0;"Graduate Degree";0;0;0;"sha";0
"flswi";4;6;"96;782";34;0;"Graduate Degree";0;0;0;"swi";0
"ikbox";4;3;"96;782";34;0;"Graduate Degree";1;1;0;"box";1
"ikbur";5;5;"96;782";34;0;"Graduate Degree";1;1;0;"bur";1
"ikpon";4;1;"96;782";34;0;"Graduate Degree";1;1;0;"pon";1
"ikshi";5;17;"96;782";34;0;"Graduate Degree";1;1;0;"shi";1
"ikspe";5;19;"96;782";34;0;"Graduate Degree";1;1;0;"spe";1
"ilbox";5;31;"96;782";34;0;"Graduate Degree";0;1;0;"box";0
"ilche";5;13;"96;782";34;0;"Graduate Degree";0;1;0;"che";0
"ilpon";4;10;"96;782";34;0;"Graduate Degree";0;1;0;"pon";0
"ilsha";5;18;"96;782";34;0;"Graduate Degree";0;1;0;"sha";0
"ilshi";3;26;"96;782";34;0;"Graduate Degree";0;1;0;"shi";0
"ilswi";4;15;"96;782";34;0;"Graduate Degree";0;1;0;"swi";0
"nfrub";5;16;"96;782";34;0;"Graduate Degree";1;0;0;"rub";1
"cfaqu";7;13;"96;795";53;0;"Some College";0;0;1;"aqu";1
"cfbur";7;1;"96;795";53;0;"Some College";0;0;1;"bur";1
"cfrub";7;26;"96;795";53;0;"Some College";0;0;1;"rub";1
"cibox";1;21;"96;795";53;0;"Some College";0;1;1;"box";1
"cibur";7;10;"96;795";53;0;"Some College";0;1;1;"bur";1
"cispe";1;6;"96;795";53;0;"Some College";0;1;1;"spe";1
"fkaqu";7;4;"96;795";53;0;"Some College";1;0;0;"aqu";1
"fkboa";7;22;"96;795";53;0;"Some College";1;0;0;"boa";1
"fkbox";7;11;"96;795";53;0;"Some College";1;0;0;"box";1
"fkbur";7;19;"96;795";53;0;"Some College";1;0;0;"bur";1
"fkcar";5;3;"96;795";53;0;"Some College";1;0;0;"car";1
"fkspe";7;24;"96;795";53;0;"Some College";1;0;0;"spe";1
"fkswi";4;8;"96;795";53;0;"Some College";1;0;0;"swi";1
"flboa";7;31;"96;795";53;0;"Some College";0;0;0;"boa";0
"flcar";7;12;"96;795";53;0;"Some College";0;0;0;"car";0
"flche";7;29;"96;795";53;0;"Some College";0;0;0;"che";0
"flsha";6;5;"96;795";53;0;"Some College";0;0;0;"sha";0
"flswi";2;27;"96;795";53;0;"Some College";0;0;0;"swi";0
"ikbox";1;30;"96;795";53;0;"Some College";1;1;0;"box";1
"ikbur";1;28;"96;795";53;0;"Some College";1;1;0;"bur";1
"ikpon";1;32;"96;795";53;0;"Some College";1;1;0;"pon";1
"ikshi";4;16;"96;795";53;0;"Some College";1;1;0;"shi";1
"ikspe";7;14;"96;795";53;0;"Some College";1;1;0;"spe";1
"ilbox";4;2;"96;795";53;0;"Some College";0;1;0;"box";0
"ilche";6;20;"96;795";53;0;"Some College";0;1;0;"che";0
"ilpon";1;23;"96;795";53;0;"Some College";0;1;0;"pon";0
"ilsha";2;15;"96;795";53;0;"Some College";0;1;0;"sha";0
"ilshi";2;7;"96;795";53;0;"Some College";0;1;0;"shi";0
"ilswi";1;18;"96;795";53;0;"Some College";0;1;0;"swi";0
"nfrub";7;17;"96;795";53;0;"Some College";1;0;0;"rub";1
"cfaqu";6;2;"96;802";21;0;"Some College";0;0;1;"aqu";1
"cfbur";6;31;"96;802";21;0;"Some College";0;0;1;"bur";1
"cfrub";6;16;"96;802";21;0;"Some College";0;0;1;"rub";1
"cibox";6;32;"96;802";21;0;"Some College";0;1;1;"box";1
"cibur";6;4;"96;802";21;0;"Some College";0;1;1;"bur";1
"cispe";5;9;"96;802";21;0;"Some College";0;1;1;"spe";1
"fkaqu";6;29;"96;802";21;0;"Some College";1;0;0;"aqu";1
"fkboa";6;12;"96;802";21;0;"Some College";1;0;0;"boa";1
"fkbox";6;23;"96;802";21;0;"Some College";1;0;0;"box";1
"fkbur";6;22;"96;802";21;0;"Some College";1;0;0;"bur";1
"fkcar";6;27;"96;802";21;0;"Some College";1;0;0;"car";1
"fkspe";6;19;"96;802";21;0;"Some College";1;0;0;"spe";1
"fkswi";6;14;"96;802";21;0;"Some College";1;0;0;"swi";1
"flboa";6;3;"96;802";21;0;"Some College";0;0;0;"boa";0
"flcar";6;18;"96;802";21;0;"Some College";0;0;0;"car";0
"flche";6;15;"96;802";21;0;"Some College";0;0;0;"che";0
"flsha";6;30;"96;802";21;0;"Some College";0;0;0;"sha";0
"flswi";2;5;"96;802";21;0;"Some College";0;0;0;"swi";0
"ikbox";6;1;"96;802";21;0;"Some College";1;1;0;"box";1
"ikbur";6;13;"96;802";21;0;"Some College";1;1;0;"bur";1
"ikpon";6;20;"96;802";21;0;"Some College";1;1;0;"pon";1
"ikshi";6;17;"96;802";21;0;"Some College";1;1;0;"shi";1
"ikspe";6;28;"96;802";21;0;"Some College";1;1;0;"spe";1
"ilbox";6;10;"96;802";21;0;"Some College";0;1;0;"box";0
"ilche";6;6;"96;802";21;0;"Some College";0;1;0;"che";0
"ilpon";6;11;"96;802";21;0;"Some College";0;1;0;"pon";0
"ilsha";6;21;"96;802";21;0;"Some College";0;1;0;"sha";0
"ilshi";6;26;"96;802";21;0;"Some College";0;1;0;"shi";0
"ilswi";6;24;"96;802";21;0;"Some College";0;1;0;"swi";0
"nfrub";6;7;"96;802";21;0;"Some College";1;0;0;"rub";1
"cfaqu";5;2;"96;805";24;1;"Bachelor's Degree";0;0;1;"aqu";1
"cfbur";5;31;"96;805";24;1;"Bachelor's Degree";0;0;1;"bur";1
"cfrub";5;16;"96;805";24;1;"Bachelor's Degree";0;0;1;"rub";1
"cibox";3;32;"96;805";24;1;"Bachelor's Degree";0;1;1;"box";1
"cibur";3;4;"96;805";24;1;"Bachelor's Degree";0;1;1;"bur";1
"cispe";4;9;"96;805";24;1;"Bachelor's Degree";0;1;1;"spe";1
"fkaqu";5;29;"96;805";24;1;"Bachelor's Degree";1;0;0;"aqu";1
"fkboa";4;12;"96;805";24;1;"Bachelor's Degree";1;0;0;"boa";1
"fkbox";6;23;"96;805";24;1;"Bachelor's Degree";1;0;0;"box";1
"fkbur";5;22;"96;805";24;1;"Bachelor's Degree";1;0;0;"bur";1
"fkcar";6;27;"96;805";24;1;"Bachelor's Degree";1;0;0;"car";1
"fkspe";4;19;"96;805";24;1;"Bachelor's Degree";1;0;0;"spe";1
"fkswi";5;14;"96;805";24;1;"Bachelor's Degree";1;0;0;"swi";1
"flboa";7;3;"96;805";24;1;"Bachelor's Degree";0;0;0;"boa";0
"flcar";7;18;"96;805";24;1;"Bachelor's Degree";0;0;0;"car";0
"flche";5;15;"96;805";24;1;"Bachelor's Degree";0;0;0;"che";0
"flsha";6;30;"96;805";24;1;"Bachelor's Degree";0;0;0;"sha";0
"flswi";7;5;"96;805";24;1;"Bachelor's Degree";0;0;0;"swi";0
"ikbox";4;1;"96;805";24;1;"Bachelor's Degree";1;1;0;"box";1
"ikbur";3;13;"96;805";24;1;"Bachelor's Degree";1;1;0;"bur";1
"ikpon";3;20;"96;805";24;1;"Bachelor's Degree";1;1;0;"pon";1
"ikshi";4;17;"96;805";24;1;"Bachelor's Degree";1;1;0;"shi";1
"ikspe";4;28;"96;805";24;1;"Bachelor's Degree";1;1;0;"spe";1
"ilbox";7;10;"96;805";24;1;"Bachelor's Degree";0;1;0;"box";0
"ilche";5;6;"96;805";24;1;"Bachelor's Degree";0;1;0;"che";0
"ilpon";6;11;"96;805";24;1;"Bachelor's Degree";0;1;0;"pon";0
"ilsha";6;21;"96;805";24;1;"Bachelor's Degree";0;1;0;"sha";0
"ilshi";7;26;"96;805";24;1;"Bachelor's Degree";0;1;0;"shi";0
"ilswi";7;24;"96;805";24;1;"Bachelor's Degree";0;1;0;"swi";0
"nfrub";5;7;"96;805";24;1;"Bachelor's Degree";1;0;0;"rub";1
"cfaqu";3;31;"96;808";19;1;"Some High School";0;0;1;"aqu";1
"cfbur";6;2;"96;808";19;1;"Some High School";0;0;1;"bur";1
"cfrub";6;17;"96;808";19;1;"Some High School";0;0;1;"rub";1
"cibox";4;1;"96;808";19;1;"Some High School";0;1;1;"box";1
"cibur";3;29;"96;808";19;1;"Some High School";0;1;1;"bur";1
"cispe";3;24;"96;808";19;1;"Some High School";0;1;1;"spe";1
"fkaqu";5;4;"96;808";19;1;"Some High School";1;0;0;"aqu";1
"fkboa";3;21;"96;808";19;1;"Some High School";1;0;0;"boa";1
"fkbox";6;10;"96;808";19;1;"Some High School";1;0;0;"box";1
"fkbur";6;11;"96;808";19;1;"Some High School";1;0;0;"bur";1
"fkcar";7;6;"96;808";19;1;"Some High School";1;0;0;"car";1
"fkspe";6;14;"96;808";19;1;"Some High School";1;0;0;"spe";1
"fkswi";4;19;"96;808";19;1;"Some High School";1;0;0;"swi";1
"flboa";4;30;"96;808";19;1;"Some High School";0;0;0;"boa";0
"flcar";6;15;"96;808";19;1;"Some High School";0;0;0;"car";0
"flche";6;18;"96;808";19;1;"Some High School";0;0;0;"che";0
"flsha";3;3;"96;808";19;1;"Some High School";0;0;0;"sha";0
"flswi";5;28;"96;808";19;1;"Some High School";0;0;0;"swi";0
"ikbox";5;32;"96;808";19;1;"Some High School";1;1;0;"box";1
"ikbur";6;20;"96;808";19;1;"Some High School";1;1;0;"bur";1
"ikpon";5;13;"96;808";19;1;"Some High School";1;1;0;"pon";1
"ikshi";6;16;"96;808";19;1;"Some High School";1;1;0;"shi";1
"ikspe";6;5;"96;808";19;1;"Some High School";1;1;0;"spe";1
"ilbox";5;23;"96;808";19;1;"Some High School";0;1;0;"box";0
"ilche";5;27;"96;808";19;1;"Some High School";0;1;0;"che";0
"ilpon";6;22;"96;808";19;1;"Some High School";0;1;0;"pon";0
"ilsha";4;12;"96;808";19;1;"Some High School";0;1;0;"sha";0
"ilshi";2;7;"96;808";19;1;"Some High School";0;1;0;"shi";0
"ilswi";3;9;"96;808";19;1;"Some High School";0;1;0;"swi";0
"nfrub";5;26;"96;808";19;1;"Some High School";1;0;0;"rub";1
"cfaqu";6;31;"96;810";34;0;"Bachelor's Degree";0;0;1;"aqu";1
"cfbur";6;2;"96;810";34;0;"Bachelor's Degree";0;0;1;"bur";1
"cfrub";7;17;"96;810";34;0;"Bachelor's Degree";0;0;1;"rub";1
"cibox";7;1;"96;810";34;0;"Bachelor's Degree";0;1;1;"box";1
"cibur";6;29;"96;810";34;0;"Bachelor's Degree";0;1;1;"bur";1
"cispe";7;24;"96;810";34;0;"Bachelor's Degree";0;1;1;"spe";1
"fkaqu";7;4;"96;810";34;0;"Bachelor's Degree";1;0;0;"aqu";1
"fkboa";7;21;"96;810";34;0;"Bachelor's Degree";1;0;0;"boa";1
"fkbox";7;10;"96;810";34;0;"Bachelor's Degree";1;0;0;"box";1
"fkbur";7;11;"96;810";34;0;"Bachelor's Degree";1;0;0;"bur";1
"fkcar";7;6;"96;810";34;0;"Bachelor's Degree";1;0;0;"car";1
"fkspe";7;14;"96;810";34;0;"Bachelor's Degree";1;0;0;"spe";1
"fkswi";6;19;"96;810";34;0;"Bachelor's Degree";1;0;0;"swi";1
"flboa";6;30;"96;810";34;0;"Bachelor's Degree";0;0;0;"boa";0
"flcar";7;15;"96;810";34;0;"Bachelor's Degree";0;0;0;"car";0
"flche";6;18;"96;810";34;0;"Bachelor's Degree";0;0;0;"che";0
"flsha";7;3;"96;810";34;0;"Bachelor's Degree";0;0;0;"sha";0
"flswi";6;28;"96;810";34;0;"Bachelor's Degree";0;0;0;"swi";0
"ikbox";7;32;"96;810";34;0;"Bachelor's Degree";1;1;0;"box";1
"ikbur";7;20;"96;810";34;0;"Bachelor's Degree";1;1;0;"bur";1
"ikpon";7;13;"96;810";34;0;"Bachelor's Degree";1;1;0;"pon";1
"ikshi";7;16;"96;810";34;0;"Bachelor's Degree";1;1;0;"shi";1
"ikspe";6;5;"96;810";34;0;"Bachelor's Degree";1;1;0;"spe";1
"ilbox";7;23;"96;810";34;0;"Bachelor's Degree";0;1;0;"box";0
"ilche";6;27;"96;810";34;0;"Bachelor's Degree";0;1;0;"che";0
"ilpon";7;22;"96;810";34;0;"Bachelor's Degree";0;1;0;"pon";0
"ilsha";1;12;"96;810";34;0;"Bachelor's Degree";0;1;0;"sha";0
"ilshi";7;7;"96;810";34;0;"Bachelor's Degree";0;1;0;"shi";0
"ilswi";7;9;"96;810";34;0;"Bachelor's Degree";0;1;0;"swi";0
"nfrub";7;26;"96;810";34;0;"Bachelor's Degree";1;0;0;"rub";1
"cfaqu";3;2;"96;817";18;0;"High School Graduate";0;0;1;"aqu";1
"cfbur";5;31;"96;817";18;0;"High School Graduate";0;0;1;"bur";1
"cfrub";4;16;"96;817";18;0;"High School Graduate";0;0;1;"rub";1
"cibox";3;32;"96;817";18;0;"High School Graduate";0;1;1;"box";1
"cibur";5;4;"96;817";18;0;"High School Graduate";0;1;1;"bur";1
"cispe";3;9;"96;817";18;0;"High School Graduate";0;1;1;"spe";1
"fkaqu";4;29;"96;817";18;0;"High School Graduate";1;0;0;"aqu";1
"fkboa";6;12;"96;817";18;0;"High School Graduate";1;0;0;"boa";1
"fkbox";5;23;"96;817";18;0;"High School Graduate";1;0;0;"box";1
"fkbur";6;22;"96;817";18;0;"High School Graduate";1;0;0;"bur";1
"fkcar";5;27;"96;817";18;0;"High School Graduate";1;0;0;"car";1
"fkspe";6;19;"96;817";18;0;"High School Graduate";1;0;0;"spe";1
"fkswi";5;14;"96;817";18;0;"High School Graduate";1;0;0;"swi";1
"flboa";1;3;"96;817";18;0;"High School Graduate";0;0;0;"boa";0
"flcar";6;18;"96;817";18;0;"High School Graduate";0;0;0;"car";0
"flche";4;15;"96;817";18;0;"High School Graduate";0;0;0;"che";0
"flsha";3;30;"96;817";18;0;"High School Graduate";0;0;0;"sha";0
"flswi";2;5;"96;817";18;0;"High School Graduate";0;0;0;"swi";0
"ikbox";4;1;"96;817";18;0;"High School Graduate";1;1;0;"box";1
"ikbur";5;13;"96;817";18;0;"High School Graduate";1;1;0;"bur";1
"ikpon";4;20;"96;817";18;0;"High School Graduate";1;1;0;"pon";1
"ikshi";4;17;"96;817";18;0;"High School Graduate";1;1;0;"shi";1
"ikspe";5;28;"96;817";18;0;"High School Graduate";1;1;0;"spe";1
"ilbox";4;10;"96;817";18;0;"High School Graduate";0;1;0;"box";0
"ilche";4;6;"96;817";18;0;"High School Graduate";0;1;0;"che";0
"ilpon";4;11;"96;817";18;0;"High School Graduate";0;1;0;"pon";0
"ilsha";5;21;"96;817";18;0;"High School Graduate";0;1;0;"sha";0
"ilshi";4;26;"96;817";18;0;"High School Graduate";0;1;0;"shi";0
"ilswi";3;24;"96;817";18;0;"High School Graduate";0;1;0;"swi";0
"nfrub";5;7;"96;817";18;0;"High School Graduate";1;0;0;"rub";1
"cfaqu";6;20;"96;821";41;0;"Bachelor's Degree";0;0;1;"aqu";1
"cfbur";4;32;"96;821";41;0;"Bachelor's Degree";0;0;1;"bur";1
"cfrub";4;7;"96;821";41;0;"Bachelor's Degree";0;0;1;"rub";1
"cibox";2;12;"96;821";41;0;"Bachelor's Degree";0;1;1;"box";1
"cibur";4;23;"96;821";41;0;"Bachelor's Degree";0;1;1;"bur";1
"cispe";3;27;"96;821";41;0;"Bachelor's Degree";0;1;1;"spe";1
"fkaqu";6;29;"96;821";41;0;"Bachelor's Degree";1;0;0;"aqu";1
"fkboa";4;11;"96;821";41;0;"Bachelor's Degree";1;0;0;"boa";1
"fkbox";4;22;"96;821";41;0;"Bachelor's Degree";1;0;0;"box";1
"fkbur";4;14;"96;821";41;0;"Bachelor's Degree";1;0;0;"bur";1
"fkcar";4;30;"96;821";41;0;"Bachelor's Degree";1;0;0;"car";1
"fkspe";4;9;"96;821";41;0;"Bachelor's Degree";1;0;0;"spe";1
"fkswi";4;25;"96;821";41;0;"Bachelor's Degree";1;0;0;"swi";1
"flboa";6;2;"96;821";41;0;"Bachelor's Degree";0;0;0;"boa";0
"flcar";3;21;"96;821";41;0;"Bachelor's Degree";0;0;0;"car";0
"flche";7;4;"96;821";41;0;"Bachelor's Degree";0;0;0;"che";0
"flsha";4;28;"96;821";41;0;"Bachelor's Degree";0;0;0;"sha";0
"flswi";7;6;"96;821";41;0;"Bachelor's Degree";0;0;0;"swi";0
"ikbox";6;3;"96;821";41;0;"Bachelor's Degree";1;1;0;"box";1
"ikbur";3;5;"96;821";41;0;"Bachelor's Degree";1;1;0;"bur";1
"ikpon";3;1;"96;821";41;0;"Bachelor's Degree";1;1;0;"pon";1
"ikshi";4;17;"96;821";41;0;"Bachelor's Degree";1;1;0;"shi";1
"ikspe";4;19;"96;821";41;0;"Bachelor's Degree";1;1;0;"spe";1
"ilbox";4;31;"96;821";41;0;"Bachelor's Degree";0;1;0;"box";0
"ilche";7;13;"96;821";41;0;"Bachelor's Degree";0;1;0;"che";0
"ilpon";6;10;"96;821";41;0;"Bachelor's Degree";0;1;0;"pon";0
"ilsha";4;18;"96;821";41;0;"Bachelor's Degree";0;1;0;"sha";0
"ilshi";6;26;"96;821";41;0;"Bachelor's Degree";0;1;0;"shi";0
"ilswi";4;15;"96;821";41;0;"Bachelor's Degree";0;1;0;"swi";0
"nfrub";4;16;"96;821";41;0;"Bachelor's Degree";1;0;0;"rub";1
"cfaqu";7;13;"96;824";28;0;"Bachelor's Degree";0;0;1;"aqu";1
"cfbur";7;1;"96;824";28;0;"Bachelor's Degree";0;0;1;"bur";1
"cfrub";1;26;"96;824";28;0;"Bachelor's Degree";0;0;1;"rub";1
"cibox";2;21;"96;824";28;0;"Bachelor's Degree";0;1;1;"box";1
"cibur";3;10;"96;824";28;0;"Bachelor's Degree";0;1;1;"bur";1
"cispe";4;6;"96;824";28;0;"Bachelor's Degree";0;1;1;"spe";1
"fkaqu";7;4;"96;824";28;0;"Bachelor's Degree";1;0;0;"aqu";1
