"specimen";"num_amtl";"age_at_death";"age_sd";"prob_male";"genus";"sockets";"pop"
"MH19776";0;38.5020685;6.56320224;0.5;"Homo sapiens";32;"Buriat"
"MH19777";0;21.2454384;3.1661365;0.25;"Homo sapiens";16;"Buriat"
"MH19782";0;27.3360137;4.35423659;0.25;"Homo sapiens";16;"Buriat"
"MH19784";0;23.5294041;3.60915514;0.25;"Homo sapiens";33;"Buriat"
"MH19826";0;25.3499565;5.33816474;0.25;"Homo sapiens";16;"Yaghan"
"MH20325";1;26.8510328;3.58600079;0.75;"Homo sapiens";32;"Australian aboriginie"
"MH20326";0;32.059041;4.43727895;0.5;"Homo sapiens";16;"Australian aboriginie"
"MH20912";0;26.4238986;5.62745765;0.5;"Homo sapiens";16;"Ona"
"MH20913";0;32.8675507;7.36905252;0.75;"Homo sapiens";16;"Yaghan"
"MH20914";0;24.2760145;5.04927738;0.25;"Homo sapiens";16;"Yaghan"
"MH22277";0;32;8.3;0.5;"Homo sapiens";15;"Sami"
"MH22278";0;38.8182459;13.9148037;0.5;"Homo sapiens";16;"Sami"
"MH22280";0;37.603459;13.4013855;0.75;"Homo sapiens";16;"Sami"
"MH22281";0;40.6404262;14.6850608;0.25;"Homo sapiens";16;"Sami"
"MH22282";0;35.1738852;12.374796;0.25;"Homo sapiens";16;"Sami"
"MH22283";0;46.1069672;16.9965704;0.25;"Homo sapiens";16;"Sami"
"MH2283";0;18.9063043;3.6143239;0.25;"Homo sapiens";16;"Fuegian"
"MH24592";0;44.680913;10.5751031;0.25;"Homo sapiens";24;"Ona"
"MH24893";1;24.0333178;2.92732743;0.25;"Homo sapiens";9;"Khoi-San"
"MH24894";0;58.6886885;20.3446194;0.75;"Homo sapiens";14;"Sami"
"MH24934A";0;30.3813014;4.9541643;0.25;"Homo sapiens";16;"Buriat"
"MH24934B";7;40;10;0.75;"Homo sapiens";16;"Buriat"
"MH24934C";14;55;15;0.75;"Homo sapiens";16;"Buriat"
"MH2896";0;22.1568264;2.64926405;0.5;"Homo sapiens";32;"Khoi-San"
"MH3337";1;33.4930246;3.38309356;0.75;"Homo sapiens";16;"Australian aboriginie"
"MH3616";1;33.7950437;4.72264949;0.75;"Homo sapiens";32;"Australian aboriginie"
"MH3619";0;22.0770253;2.81636112;0.75;"Homo sapiens";32;"Tasmanien"
"MH3638";0;26.8510328;3.58600079;0.25;"Homo sapiens";32;"Tasmanien"
"MH4459";0;36.0500389;4.86831607;0.75;"Homo sapiens";32;"Australian aboriginie"
"MH4460";4;32.059041;4.43727895;0.25;"Homo sapiens";32;"Australian aboriginie"
"MH4665";0;23.813028;3.09453499;0.25;"Homo sapiens";32;"Australian aboriginie"
"MH4763";2;22.0770253;2.81636112;0.25;"Homo sapiens";33;"Australian aboriginie"
"MH4765";2;25.2000219;3.10683206;0.25;"Homo sapiens";15;"Australian aboriginie"
"MH4767";2;15.567015;1.80774282;0.25;"Homo sapiens";32;"Tasmanien"
"MH5325";0;23.3790273;3.02477635;0.75;"Homo sapiens";16;"Australian aboriginie"
"MH5327";0;25.9830314;3.44508735;0.25;"Homo sapiens";16;"Australian aboriginie"
"MH5328";0;29.4550369;4.01057301;0.25;"Homo sapiens";16;"Australian aboriginie"
"MH5329";2;24.2470287;3.16442127;0.25;"Homo sapiens";32;"Australian aboriginie"
"MH5330";0;17.3030178;2.06875973;0.25;"Homo sapiens";32;"Australian aboriginie"
"MH5563";6;51.9;12.5;0.25;"Homo sapiens";16;"Khoi-San"
"MH8057";0;53.3956885;20.0797763;0.25;"Homo sapiens";32;"Sami"
"NMNH225025";0;37.551766;16.4384771;0.5;"Homo sapiens";16;"Chucki"
"NMNH225028";0;38.3400851;16.8483619;0.75;"Homo sapiens";16;"Chucki"
"NMNH225029";0;47.0115957;21.3584428;0.25;"Homo sapiens";16;"Chucki"
"NMNH225032";12;55;15;0.75;"Homo sapiens";14;"Chucki"
"NMNH226086";12;34.6630451;4.86555727;0.75;"Homo sapiens";31;"Australian aboriginie"
"NMNH226087";0;21.6430246;2.74721254;0.5;"Homo sapiens";16;"Australian aboriginie"
"NMNH226088";0;41.1;10;0.5;"Homo sapiens";12;"Australian aboriginie"
"NMNH226089";0;16.4350164;1.93720666;0.5;"Homo sapiens";32;"Australian aboriginie"
"NMNH226090";1;19.0390205;2.33671692;0.25;"Homo sapiens";31;"Australian aboriginie"
"NMNH226092";14;55;15;0.25;"Homo sapiens";16;"Australian aboriginie"
"NMNH227455";0;11.6610089;1.26803942;0.5;"Homo sapiens";32;"Australian aboriginie"
"NMNH258483";0;25.3320304;3.33964284;0.25;"Homo sapiens";32;"Australian aboriginie"
"NMNH278701";19;28.3511096;4.55391036;0.25;"Homo sapiens";32;"Buriat"
"NMNH278702";12;22.2605342;3.36255085;0.25;"Homo sapiens";31;"Buriat"
"NMNH278703";6;40;10;0.25;"Homo sapiens";29;"Buriat"
"NMNH278704";0;17.4388288;2.43978021;0.25;"Homo sapiens";32;"Buriat"
"NMNH278705";28;55;15;0.25;"Homo sapiens";32;"Buriat"
"NMNH278706";6;30.1275274;4.90407388;0.5;"Homo sapiens";32;"Buriat"
"NMNH278707";7;27.8435616;4.45403148;0.75;"Homo sapiens";32;"Buriat"
"NMNH278708";0;20.2303425;2.97066069;0.25;"Homo sapiens";32;"Buriat"
"NMNH278709";16;17.1850548;2.392161;0.25;"Homo sapiens";30;"Buriat"
"NMNH278710";0;20.9916644;3.11717264;0.5;"Homo sapiens";32;"Buriat"
"NMNH278711";2;33.426589;5.55632114;0.5;"Homo sapiens";31;"Buriat"
"NMNH278712";3;31.6139178;4.709013;0.25;"Homo sapiens";30;"Buriat"
"NMNH278713";0;17.1850548;2.392161;0.25;"Homo sapiens";31;"(Buriat) Chinese?"
"NMNH278716";0;18.7076986;2.67965585;0.5;"Homo sapiens";32;"Buriat"
"NMNH283606";0;27.5897877;4.40412318;0.75;"Homo sapiens";32;"Buriat"
"NMNH283607";28;55;15;0.75;"Homo sapiens";28;"Buriat"
"NMNH283609a";0;29.8737534;4.85399919;0.75;"Homo sapiens";32;"Buriat"
"NMNH283613";0;25.3058219;3.95602419;0.75;"Homo sapiens";32;"Buriat"
"NMNH283615";1;40;10;0.75;"Homo sapiens";32;"Buriat"
"NMNH329778";0;18.6050198;2.26921034;0.25;"Homo sapiens";33;"Australian aboriginie"
"NMNH329779";2;40.1730454;5.5467185;0.75;"Homo sapiens";32;"Australian aboriginie"
"NMNH330604";0;21.4260243;2.71270581;0.75;"Homo sapiens";32;"Australian aboriginie"
"NMNH330605";2;40;10;0.75;"Homo sapiens";13;"Australian aboriginie"
"NMNH330606";3;40;10;0.25;"Homo sapiens";14;"Australian aboriginie"
"NMNH330607";3;34.7480369;4.65477138;0.5;"Homo sapiens";8;"Australian aboriginie"
"NMNH331242";2;31.40804;4.33043687;0.75;"Homo sapiens";32;"Australian aboriginie"
"NMNH331243";0;39.0880437;5.3679133;0.75;"Homo sapiens";32;"Australian aboriginie"
"NMNH344711";2;33.1440427;4.61556224;0.75;"Homo sapiens";32;"Australian aboriginie"
"NMNH344712";0;24.0300284;3.12946271;0.5;"Homo sapiens";30;"Australian aboriginie"
"NMNH344713";2;33.7950437;4.72264949;0.25;"Homo sapiens";16;"Australian aboriginie"
"NMNH344714";0;29.8890376;4.08156052;0.25;"Homo sapiens";32;"Australian aboriginie"
"NMNH344715";2;32.4930417;4.50856156;0.25;"Homo sapiens";32;"Australian aboriginie"
"NMNH350096";0;36.3990478;5.1517561;0.75;"Homo sapiens";32;"Australian aboriginie"
"NMNH350097";0;26.8510328;3.58600079;0.75;"Homo sapiens";32;"Australian aboriginie"
"NMNH350098";0;24.6086959;3.22275136;0.75;"Homo sapiens";32;"Australian aboriginie"
"NMNH380429";26;27.417015;2.52520843;0.75;"Homo sapiens";31;"Australian aboriginie"
"NMNH380430";9;29.8890376;4.08156052;0.25;"Homo sapiens";32;"Australian aboriginie"
"NMNH380431";23;51.9;12.5;0.75;"Homo sapiens";32;"Australian aboriginie"
"NMNH380447";3;23.3790273;3.02477635;0.75;"Homo sapiens";32;"Australian aboriginie"
"NMNH380448";0;15.7840154;1.83988868;0.25;"Homo sapiens";32;"Australian aboriginie"
"NMNH380449";1;25.259697;3.32794049;0.75;"Homo sapiens";16;"Australian aboriginie"
"NMNH380450";1;28.5870355;3.86877709;0.75;"Homo sapiens";16;"Australian aboriginie"
"NMNH380451";2;38.2200424;5.22500246;0.75;"Homo sapiens";17;"Australian aboriginie"
"NMNH380452";0;31.1910396;4.29484575;0.75;"Homo sapiens";16;"Australian aboriginie"
"NMNH380453";0;32.2760413;4.47291497;0.75;"Homo sapiens";32;"Australian aboriginie"
"NMNH380464";0;33.7950437;4.72264949;0.75;"Homo sapiens";32;"Australian aboriginie"
"NMNH380466";0;37.2670492;5.29502645;0.25;"Homo sapiens";24;"Australian aboriginie"
"PMN1389";0;28.5870355;3.86877709;0.75;"Homo sapiens";16;"Australian aboriginie"
"PMN1390";0;23.3790273;3.02477635;0.25;"Homo sapiens";32;"Australian aboriginie"
"PMN1496";0;25.9830314;3.44508735;0.75;"Homo sapiens";16;"Australian aboriginie"
"PMN1497";0;25.1150301;3.30454439;0.75;"Homo sapiens";16;"Australian aboriginie"
"PMN3064";0;23.3790273;3.02477635;0.75;"Homo sapiens";15;"Australian aboriginie"
"PMN3064A";0;37.7860417;5.15359486;0.75;"Homo sapiens";32;"Australian aboriginie"
"PMN3065";0;28.2850164;2.64088713;0.5;"Homo sapiens";16;"Australian aboriginie"
"PMN7459";5;25.5490307;3.37476666;0.75;"Homo sapiens";32;"Australian aboriginie"
"UCD2(1)b";0;37.7132289;5.1293812;0.5;"Homo sapiens";23;"Native Californian"
"UCD2(10.1)b";5;37.3306024;5.06666429;0.5;"Homo sapiens";31;"Native Californian"
"UCD2(16)b";1;36.9479759;5.00397466;0.5;"Homo sapiens";32;"Native Californian"
"UCD2(2)b";0;25.9155783;3.42374303;0.5;"Homo sapiens";30;"Native Californian"
"UCD2(3a)b";1;40.3916145;5.56908606;0.5;"Homo sapiens";30;"Native Californian"
"UCD2(6)b";0;36.1827229;4.87868148;0.5;"Homo sapiens";32;"Native Californian"
"UCD2(8)b";5;40.3916145;5.56908606;0.5;"Homo sapiens";32;"Native Californian"
"UCD2(L-23-1)b";1;33.8869639;4.50357659;0.5;"Homo sapiens";33;"Native Californian"
"UVS1";0;22.1568264;2.64926405;0.75;"Homo sapiens";32;"Khoi-San"
"UVS10";0;24.7839144;3.03927918;0.75;"Homo sapiens";32;"Khoi-San"
"UVS101";0;21.7815281;2.59401611;0.25;"Homo sapiens";32;"Khoi-San"
"UVS102";0;27.0357042;3.37708808;0.25;"Homo sapiens";32;"Khoi-San"
"UVS104";0;21.7815281;2.59401611;0.75;"Homo sapiens";32;"Khoi-San"
"UVS105";5;41.1374939;4.32538295;0.25;"Homo sapiens";27;"Khoi-San"
"UVS119";0;21.7815281;2.59401611;0.75;"Homo sapiens";16;"Khoi-San"
"UVS12";0;28.5368973;3.60361662;0.75;"Homo sapiens";16;"Khoi-San or bushman half-caste"
"UVS125";30;34.7;7.8;0.25;"Homo sapiens";32;"Khoi-San"
"UVS142";0;17.6532469;1.99807578;0.25;"Homo sapiens";32;"Khoi-San"
"UVS2";0;28.5368973;3.60361662;0.25;"Homo sapiens";32;"Khoi-San"
"UVS22";11;24.4086161;2.98325724;0.75;"Homo sapiens";32;"Khoi-San"
"UVS24";2;28.161599;3.54689952;0.75;"Homo sapiens";29;"Khoi-San"
"UVS28";6;34.7;7.8;0.25;"Homo sapiens";15;"Khoi-San"
"UVS29";0;19.5297384;2.26582834;0.75;"Homo sapiens";32;"Khoi-San or bushman half-caste"
"UVS3";0;26.6604059;3.32060722;0.75;"Homo sapiens";32;"Khoi-San"
"UVS34";0;27.0357042;3.37708808;0.5;"Homo sapiens";16;"Khoi-San or bushman half-caste"
"UVS38";0;23.2827213;2.81576611;0.25;"Homo sapiens";32;"Khoi-San"
"UVS40";0;28.5757213;3.49137561;0.25;"Homo sapiens";32;"Khoi-San"
"UVS42";0;23.2827213;2.81576611;0.75;"Homo sapiens";16;"Khoi-San"
"UVS45";20;39.4;9.1;0.25;"Homo sapiens";28;"Khoi-San"
"UVS46";0;16.9026504;1.89297439;0.25;"Homo sapiens";32;"Khoi-San"
"UVS49";1;27.4110024;3.43363244;0.25;"Homo sapiens";33;"Khoi-San or bushman half-caste"
"UVS52";0;31.1639853;4.00197497;0.25;"Homo sapiens";32;"Khoi-San or bushman half-caste"
"UVS55";24;30.5;9.6;0.25;"Homo sapiens";27;"Khoi-San or bushman half-caste"
"UVS56";27;41.1;10;0.25;"Homo sapiens";30;"Khoi-San or bushman half-caste"
"UVS57";2;22.1568264;2.64926405;0.25;"Homo sapiens";32;"Khoi-San or bushman half-caste"
"UVS58";0;24.0333178;2.92732743;0.25;"Homo sapiens";16;"Khoi-San or bushman half-caste"
"UVS59";0;18.7791418;2.1579761;0.25;"Homo sapiens";32;"Khoi-San or bushman half-caste"
"UVS60";0;21.7815281;2.59401611;0.25;"Homo sapiens";16;"Khoi-San or bushman half-caste"
"UVS62";0;19.5297384;2.26582834;0.25;"Homo sapiens";16;"Khoi-San or bushman half-caste"
"UVS63";10;28.9121956;3.66038599;0.25;"Homo sapiens";32;"Khoi-San or bushman half-caste"
"UVS67";1;25.1592127;3.09538823;0.75;"Homo sapiens";32;"Khoi-San or bushman half-caste"
"UVS68";0;17.6532469;1.99807578;0.75;"Homo sapiens";32;"Khoi-San or bushman half-caste"
"UVS76";0;22.1568264;2.64926405;0.75;"Homo sapiens";32;"Khoi-San or bushman half-caste"
