"id";"days_to_event";"date_out";"out_event";"date_in";"in_event";"breed";"color";"intake_age"
"A747552";18;"05/09/2017 02:00:00 PM";"Transfer";"04/21/2017 09:51:00 AM";"Owner Surrender";"Turkish Angora Mix";"White";48
"A747952";4;"05/01/2017 07:14:00 PM";"Transfer";"04/27/2017 12:20:00 PM";"Stray";"Domestic Shorthair Mix";"Black";12
"A732206";23;"09/01/2016 06:15:00 PM";"Adoption";"08/09/2016 12:05:00 PM";"Owner Surrender";"Domestic Medium Hair Mix";"Black/Brown Tabby";3
"A712932";7;"10/07/2015 12:04:00 PM";"Transfer";"09/30/2015 01:13:00 PM";"Owner Surrender";"Domestic Shorthair Mix";"Black/White";4
"A726262";5;"05/14/2016 11:20:00 AM";"Adoption";"05/09/2016 12:01:00 AM";"Stray";"Domestic Medium Hair Mix";"Orange Tabby";1
"A737396";9;"11/05/2016 05:26:00 PM";"Adoption";"10/27/2016 10:18:00 AM";"Stray";"Domestic Shorthair Mix";"Tortie";1
"A713637";1;"10/11/2015 09:42:00 AM";"Died";"10/10/2015 08:56:00 AM";"Stray";"Siamese Mix";"Lynx Point";24
"A718712";15;"01/20/2016 07:24:00 AM";"Transfer";"01/05/2016 04:40:00 PM";"Owner Surrender";"Domestic Shorthair Mix";"Black";7
"A767630";1;"03/05/2018 03:10:00 PM";"Euthanasia";"03/04/2018 03:30:00 PM";"Stray";"Domestic Shorthair Mix";"Calico";96
"A734108";1;"09/02/2016 09:00:00 AM";"Transfer";"09/01/2016 01:39:00 PM";"Stray";"Domestic Medium Hair";"Black";3
"A763361";12;"12/20/2017 05:31:00 PM";"Adoption";"12/08/2017 02:21:00 PM";"Stray";"Domestic Shorthair Mix";"Brown Tabby/White";12
"A760701";5;"10/27/2017 06:13:00 PM";"Adoption";"10/22/2017 04:48:00 PM";"Stray";"Domestic Medium Hair Mix";"Black";3
"A701884";5;"05/10/2015 06:52:00 PM";"Adoption";"05/05/2015 03:32:00 PM";"Owner Surrender";"Domestic Shorthair Mix";"Torbie";12
"A681029";3;"06/14/2014 02:31:00 PM";"Transfer";"06/11/2014 01:53:00 PM";"Owner Surrender";"Domestic Shorthair Mix";"Cream Tabby/White";4
"A752924";34;"08/02/2017 02:46:00 PM";"Transfer";"06/29/2017 11:10:00 AM";"Stray";"Domestic Shorthair Mix";"Black";3
"A763304";4;"12/11/2017 07:10:00 PM";"Transfer";"12/07/2017 11:35:00 AM";"Stray";"Domestic Medium Hair Mix";"Orange Tabby";6
"A748602";2;"05/06/2017 05:07:00 PM";"Adoption";"05/04/2017 12:51:00 PM";"Owner Surrender";"Domestic Medium Hair Mix";"Brown Tabby/White";2
"A723899";242;"12/06/2016 11:28:00 AM";"Adoption";"04/08/2016 01:58:00 PM";"Owner Surrender";"Domestic Shorthair Mix";"Blue/White";36
"A770773";4;"04/29/2018 03:00:00 PM";"Transfer";"04/25/2018 11:45:00 AM";"Stray";"Domestic Shorthair Mix";"Black";12
"A669459";5;"12/26/2013 10:14:00 AM";"Transfer";"12/21/2013 12:34:00 PM";"Stray";"Domestic Shorthair Mix";"Tortie";24
"A733797";4;"08/31/2016 06:11:00 PM";"Adoption";"08/27/2016 12:50:00 PM";"Stray";"Domestic Shorthair Mix";"Brown Tabby/White";2
"A728895";2;"06/12/2016 03:14:00 PM";"Adoption";"06/10/2016 11:53:00 AM";"Owner Surrender";"Siamese Mix";"Seal Point";72
"A734322";63;"11/07/2016 06:38:00 PM";"Adoption";"09/05/2016 09:53:00 AM";"Owner Surrender";"Domestic Shorthair Mix";"Black";1
"A681091";7;"06/19/2014 02:34:00 PM";"Transfer";"06/12/2014 12:59:00 PM";"Stray";"Domestic Shorthair Mix";"Orange Tabby";36
"A729401";10;"06/27/2016 12:00:00 AM";"Transfer";"06/17/2016 04:04:00 PM";"Owner Surrender";"Domestic Shorthair Mix";"Brown Tabby/White";2
"A730505";44;"08/18/2016 03:55:00 PM";"Adoption";"07/05/2016 05:19:00 PM";"Stray";"Domestic Shorthair Mix";"Brown Tabby/White";2
"A749754";6;"05/25/2017 03:34:00 PM";"Transfer";"05/19/2017 11:03:00 AM";"Stray";"Domestic Shorthair Mix";"Brown Tabby";2
"A708295";12;"08/06/2015 12:30:00 PM";"Adoption";"07/25/2015 02:46:00 PM";"Stray";"Domestic Shorthair Mix";"Brown Tabby";1
"A739226";1;"11/30/2016 09:00:00 AM";"Transfer";"11/29/2016 01:48:00 PM";"Stray";"Domestic Shorthair Mix";"Blue/White";12
"A706549";18;"07/18/2015 08:39:00 PM";"Adoption";"06/30/2015 11:47:00 AM";"Stray";"Domestic Shorthair Mix";"Tortie";1
"A764313";2;"12/29/2017 01:14:00 PM";"Transfer";"12/27/2017 05:02:00 PM";"Stray";"Domestic Shorthair Mix";"Brown Tabby/White";2
"A691515";9;"11/14/2014 09:15:00 AM";"Transfer";"11/05/2014 04:16:00 PM";"Stray";"Domestic Medium Hair Mix";"Torbie";2
"A715444";1;"11/05/2015 09:00:00 AM";"Transfer";"11/04/2015 05:20:00 PM";"Stray";"Domestic Shorthair Mix";"Black/White";12
"A716797";4;"11/29/2015 07:23:00 PM";"Transfer";"11/25/2015 11:35:00 AM";"Stray";"Domestic Shorthair Mix";"Brown Tabby";3
"A733517";15;"09/07/2016 03:36:00 PM";"Adoption";"08/23/2016 11:59:00 AM";"Owner Surrender";"Domestic Medium Hair Mix";"Tortie";24
"A747972";1;"04/28/2017 06:42:00 PM";"Transfer";"04/27/2017 02:55:00 PM";"Stray";"Domestic Shorthair Mix";"Brown Tabby";2
"A588297";66;"NA";"Censored";"03/26/2018 02:36:00 PM";"Stray";"Domestic Shorthair Mix";"Torbie";84
"A699015";1;"03/22/2015 09:00:00 AM";"Transfer";"03/21/2015 11:02:00 AM";"Stray";"Domestic Longhair Mix";"Orange Tabby/White";36
"A678169";73;"07/17/2014 02:40:00 PM";"Adoption";"05/05/2014 11:11:00 AM";"Stray";"Domestic Shorthair Mix";"Black/White";3
"A670994";5;"02/03/2014 02:31:00 PM";"Transfer";"01/29/2014 01:43:00 PM";"Owner Surrender";"Domestic Shorthair Mix";"Black/White";7
"A736435";1;"10/11/2016 04:00:00 PM";"Transfer";"10/10/2016 03:39:00 PM";"Stray";"Domestic Shorthair Mix";"Blue Tabby/White";5
"A760322";89;"01/13/2018 03:56:00 PM";"Adoption";"10/16/2017 01:43:00 PM";"Stray";"Domestic Shorthair Mix";"Brown Tabby";3
"A735666";113;"01/18/2017 03:25:00 PM";"Transfer";"09/27/2016 11:07:00 AM";"Owner Surrender";"Domestic Shorthair Mix";"Black";3
"A754485";4;"07/25/2017 12:07:00 PM";"Transfer";"07/21/2017 01:23:00 PM";"Stray";"Domestic Shorthair Mix";"Black/White";48
"A684029";43;"08/30/2014 06:42:00 PM";"Adoption";"07/18/2014 02:58:00 PM";"Stray";"Domestic Shorthair Mix";"Cream Tabby";1
"A714373";48;"12/09/2015 10:57:00 AM";"Adoption";"10/22/2015 02:07:00 PM";"Stray";"Domestic Medium Hair Mix";"Brown Tabby";4
"A717029";19;"12/19/2015 06:39:00 PM";"Adoption";"11/30/2015 06:40:00 PM";"Stray";"Domestic Shorthair Mix";"White";24
"A752789";5;"07/02/2017 03:14:00 PM";"Transfer";"06/27/2017 02:14:00 PM";"Stray";"Domestic Shorthair Mix";"Brown Tabby";3
"A766606";5;"02/17/2018 12:42:00 PM";"Adoption";"02/12/2018 04:42:00 PM";"Stray";"Domestic Shorthair Mix";"Black";9
"A731778";1;"07/28/2016 10:01:00 AM";"Transfer";"07/27/2016 01:14:00 PM";"Stray";"Domestic Shorthair Mix";"Gray";1
"A710478";1;"08/24/2015 09:00:00 AM";"Transfer";"08/23/2015 04:22:00 PM";"Stray";"Domestic Medium Hair Mix";"Torbie";12
"A665261";59;"12/13/2013 11:51:00 AM";"Adoption";"10/15/2013 05:52:00 PM";"Stray";"Domestic Shorthair Mix";"Black Tabby";3
"A677087";141;"09/07/2014 04:07:00 PM";"Adoption";"04/19/2014 12:49:00 PM";"Stray";"Domestic Shorthair Mix";"Orange Tabby/White";1
"A747671";8;"05/01/2017 01:47:00 PM";"Adoption";"04/23/2017 12:15:00 PM";"Stray";"Domestic Shorthair Mix";"Brown Tabby/White";12
"A733298";11;"08/30/2016 01:54:00 PM";"Transfer";"08/19/2016 06:03:00 PM";"Owner Surrender";"Domestic Shorthair Mix";"Brown Tabby";24
"A751093";76;"08/19/2017 02:38:00 PM";"Adoption";"06/04/2017 11:26:00 AM";"Owner Surrender";"Domestic Medium Hair Mix";"Brown Tabby";96
"A709607";90;"11/09/2015 06:24:00 PM";"Adoption";"08/11/2015 12:04:00 PM";"Stray";"Domestic Shorthair Mix";"Black/White";1
"A675504";16;"04/13/2014 01:14:00 PM";"Transfer";"03/28/2014 01:46:00 PM";"Owner Surrender";"Domestic Shorthair Mix";"Blue Tabby/White";48
"A760678";67;"12/28/2017 05:15:00 PM";"Adoption";"10/22/2017 02:08:00 PM";"Stray";"Domestic Shorthair Mix";"White/Orange Tabby";24
"A749136";32;"06/12/2017 02:42:00 PM";"Adoption";"05/11/2017 01:21:00 PM";"Stray";"Domestic Shorthair Mix";"Cream Tabby/White";1
"A753019";50;"08/19/2017 04:04:00 PM";"Adoption";"06/30/2017 12:37:00 PM";"Stray";"Domestic Shorthair Mix";"Black";1
"A683107";1;"07/08/2014 09:00:00 AM";"Transfer";"07/07/2014 12:41:00 PM";"Stray";"Domestic Shorthair";"Orange Tabby";12
"A755173";8;"08/07/2017 04:12:00 PM";"Adoption";"07/30/2017 11:48:00 AM";"Stray";"Domestic Shorthair Mix";"Orange Tabby";1
"A638551";21;"08/30/2015 01:22:00 PM";"Adoption";"08/09/2015 03:46:00 PM";"Stray";"Domestic Longhair Mix";"Black/White";24
"A732046";8;"08/09/2016 02:09:00 PM";"Transfer";"08/01/2016 11:42:00 AM";"Stray";"Domestic Shorthair Mix";"Black Smoke";3
"A678860";1;"05/14/2014 02:02:00 PM";"Transfer";"05/13/2014 02:38:00 PM";"Stray";"Snowshoe Mix";"Lynx Point/White";1
"A685991";8;"08/23/2014 03:58:00 PM";"Adoption";"08/15/2014 02:13:00 PM";"Owner Surrender";"Domestic Shorthair Mix";"Brown Tabby/White";1
"A767643";5;"03/09/2018 11:04:00 AM";"Transfer";"03/04/2018 04:46:00 PM";"Stray";"Domestic Shorthair Mix";"Brown Tabby";24
"A681173";23;"07/06/2014 05:10:00 PM";"Adoption";"06/13/2014 02:37:00 PM";"Stray";"Domestic Longhair Mix";"Orange Tabby";1
"A711877";1;"09/14/2015 09:00:00 AM";"Transfer";"09/13/2015 11:01:00 AM";"Stray";"Domestic Longhair Mix";"Calico";24
"A703068";55;"07/14/2015 12:32:00 PM";"Adoption";"05/20/2015 11:07:00 AM";"Stray";"Domestic Shorthair Mix";"Brown Tabby";3
"A681896";2;"06/23/2014 03:40:00 PM";"Transfer";"06/21/2014 02:44:00 PM";"Stray";"Domestic Shorthair Mix";"Brown Tabby/White";1
"A668344";5;"12/07/2013 01:52:00 PM";"Adoption";"12/02/2013 02:32:00 PM";"Owner Surrender";"Domestic Shorthair Mix";"Brown Tabby";2
"A705976";39;"08/01/2015 05:47:00 PM";"Adoption";"06/23/2015 11:08:00 AM";"Stray";"Domestic Shorthair Mix";"Black/White";3
"A749950";6;"05/27/2017 01:44:00 PM";"Transfer";"05/21/2017 04:45:00 PM";"Stray";"Domestic Shorthair Mix";"Blue/White";3
"A727612";6;"05/29/2016 07:20:00 AM";"Transfer";"05/23/2016 04:46:00 PM";"Stray";"Domestic Shorthair Mix";"Torbie";1
"A687570";7;"09/13/2014 04:14:00 PM";"Transfer";"09/06/2014 04:13:00 PM";"Owner Surrender";"Domestic Shorthair Mix";"Blue/White";36
"A677959";72;"07/12/2014 11:36:00 AM";"Adoption";"05/01/2014 05:39:00 PM";"Stray";"Domestic Shorthair Mix";"Blue Tabby";4
"A761277";48;"12/20/2017 06:32:00 PM";"Adoption";"11/02/2017 09:24:00 AM";"Stray";"Domestic Shorthair Mix";"Black/White";4
"A699936";115;"07/28/2015 12:06:00 PM";"Adoption";"04/04/2015 02:47:00 PM";"Stray";"Domestic Longhair Mix";"Blue/White";60
"A766361";12;"02/19/2018 06:32:00 PM";"Adoption";"02/07/2018 02:52:00 PM";"Owner Surrender";"Domestic Shorthair Mix";"Brown Tabby/White";24
"A699140";50;"05/12/2015 12:23:00 PM";"Adoption";"03/23/2015 11:44:00 AM";"Stray";"Domestic Shorthair Mix";"Orange Tabby";4
"A677155";2;"04/22/2014 04:52:00 PM";"Adoption";"04/20/2014 01:21:00 PM";"Owner Surrender";"Domestic Medium Hair Mix";"Brown Tabby";5
"A680378";89;"08/30/2014 06:15:00 PM";"Adoption";"06/02/2014 11:25:00 AM";"Stray";"Domestic Medium Hair Mix";"Calico";3
"A749186";11;"05/23/2017 02:07:00 PM";"Transfer";"05/12/2017 08:21:00 AM";"Stray";"Domestic Shorthair Mix";"Cream Tabby";1
"A666255";196;"05/13/2014 12:37:00 PM";"Adoption";"10/29/2013 01:57:00 PM";"Stray";"Domestic Shorthair Mix";"White/Brown Tabby";1
"A747521";5;"04/25/2017 12:00:00 AM";"Transfer";"04/20/2017 05:30:00 PM";"Stray";"Domestic Shorthair Mix";"Cream Tabby";12
"A699139";50;"05/12/2015 01:59:00 PM";"Adoption";"03/23/2015 11:44:00 AM";"Stray";"Domestic Shorthair Mix";"Brown Tabby";4
"A743025";5;"02/07/2017 08:18:00 AM";"Euthanasia";"02/02/2017 12:36:00 PM";"Owner Surrender";"Domestic Shorthair Mix";"Brown Tabby";12
"A737000";64;"12/23/2016 02:24:00 PM";"Adoption";"10/20/2016 03:57:00 PM";"Stray";"Domestic Shorthair Mix";"Cream Tabby";2
"A703770";52;"07/19/2015 07:48:00 PM";"Adoption";"05/28/2015 04:48:00 PM";"Stray";"Domestic Shorthair Mix";"Brown Tabby";4
"A699450";1;"03/28/2015 09:00:00 AM";"Transfer";"03/27/2015 03:30:00 PM";"Stray";"Domestic Shorthair Mix";"Orange Tabby/White";24
"A743701";28;"03/15/2017 08:27:00 PM";"Died";"02/15/2017 08:15:00 AM";"Stray";"Domestic Shorthair Mix";"Black";36
"A729830";51;"08/14/2016 07:00:00 PM";"Adoption";"06/24/2016 01:40:00 PM";"Stray";"Domestic Shorthair Mix";"Black/White";2
"A726688";3;"05/16/2016 02:30:00 PM";"Transfer";"05/13/2016 11:39:00 AM";"Stray";"Domestic Shorthair Mix";"Brown Tabby";1
"A724744";2;"04/23/2016 08:45:00 AM";"Euthanasia";"04/21/2016 01:06:00 PM";"Stray";"Domestic Shorthair Mix";"Orange/White";72
"A667007";37;"12/18/2013 04:16:00 PM";"Transfer";"11/11/2013 11:11:00 AM";"Owner Surrender";"Domestic Shorthair Mix";"Black";1
"A706422";4;"07/02/2015 04:54:00 PM";"Euthanasia";"06/28/2015 04:13:00 PM";"Stray";"Domestic Shorthair Mix";"Torbie";1
"A680468";1;"06/04/2014 06:51:00 PM";"Transfer";"06/03/2014 11:50:00 AM";"Stray";"Domestic Longhair Mix";"Orange Tabby";24
"A749441";1;"05/16/2017 02:39:00 PM";"Transfer";"05/15/2017 10:58:00 AM";"Owner Surrender";"Siamese Mix";"Flame Point";24
"A752700";4;"06/30/2017 03:27:00 PM";"Transfer";"06/26/2017 11:42:00 AM";"Stray";"Domestic Shorthair Mix";"Black";12
"A706302";3;"06/30/2015 02:53:00 PM";"Transfer";"06/27/2015 12:08:00 PM";"Stray";"Domestic Shorthair Mix";"Black";1
"A735378";3;"09/26/2016 02:13:00 PM";"Transfer";"09/23/2016 12:00:00 PM";"Owner Surrender";"Domestic Shorthair Mix";"Black/White";3
"A728956";10;"06/21/2016 08:04:00 AM";"Died";"06/11/2016 03:15:00 PM";"Stray";"Siamese";"Seal Point";4
"A751504";29;"07/08/2017 11:51:00 AM";"Transfer";"06/09/2017 08:38:00 AM";"Stray";"Domestic Shorthair Mix";"Black";1
"A771121";1;"05/01/2018 12:00:00 AM";"Transfer";"04/30/2018 06:20:00 PM";"Stray";"Domestic Shorthair Mix";"Blue/White";4
"A684160";32;"08/21/2014 05:45:00 PM";"Adoption";"07/20/2014 12:24:00 PM";"Stray";"Domestic Shorthair Mix";"Blue Tabby";1
"A747709";30;"05/23/2017 05:04:00 PM";"Adoption";"04/23/2017 05:07:00 PM";"Owner Surrender";"Domestic Shorthair Mix";"White/Orange Tabby";1
"A731010";4;"07/18/2016 06:14:00 PM";"Adoption";"07/14/2016 04:13:00 PM";"Stray";"Siamese Mix";"Seal Point";2
"A761733";5;"11/13/2017 06:30:00 PM";"Adoption";"11/08/2017 01:56:00 PM";"Stray";"Domestic Shorthair Mix";"Black";24
"A748196";7;"05/07/2017 04:04:00 PM";"Transfer";"04/30/2017 03:45:00 PM";"Stray";"Domestic Shorthair Mix";"White";3
"A685989";24;"09/08/2014 07:42:00 PM";"Adoption";"08/15/2014 02:13:00 PM";"Owner Surrender";"Domestic Shorthair Mix";"Black";1
"A767415";16;"03/16/2018 02:20:00 PM";"Euthanasia";"02/28/2018 01:01:00 PM";"Owner Surrender";"Domestic Medium Hair Mix";"Torbie";120
"A707321";37;"08/17/2015 05:45:00 PM";"Adoption";"07/11/2015 12:48:00 PM";"Stray";"Domestic Shorthair Mix";"Tortie";4
"A719832";69;"04/06/2016 03:15:00 PM";"Adoption";"01/28/2016 03:30:00 PM";"Stray";"Domestic Longhair Mix";"Black";4
"A678260";8;"05/14/2014 03:30:00 PM";"Transfer";"05/06/2014 01:49:00 PM";"Stray";"Domestic Shorthair Mix";"Blue Tabby";180
"A711000";7;"09/07/2015 01:52:00 PM";"Adoption";"08/31/2015 03:13:00 PM";"Stray";"Domestic Shorthair Mix";"Brown Tabby";1
"A746894";14;"04/25/2017 06:37:00 PM";"Transfer";"04/11/2017 11:16:00 AM";"Stray";"Domestic Shorthair";"Torbie";12
"A714863";25;"11/23/2015 09:07:00 PM";"Adoption";"10/29/2015 09:54:00 AM";"Stray";"Domestic Shorthair Mix";"Blue Tabby/White";3
"A735671";2;"09/29/2016 07:13:00 PM";"Adoption";"09/27/2016 11:07:00 AM";"Owner Surrender";"Domestic Shorthair Mix";"Brown Tabby";2
"A688687";1;"09/23/2014 09:00:00 AM";"Transfer";"09/22/2014 12:17:00 PM";"Stray";"Domestic Shorthair Mix";"Brown Tabby";3
"A735433";64;"11/26/2016 03:57:00 PM";"Adoption";"09/23/2016 12:00:00 PM";"Owner Surrender";"Domestic Shorthair";"Black/White";8
"A686701";1;"08/26/2014 09:00:00 AM";"Transfer";"08/25/2014 03:33:00 PM";"Stray";"Domestic Shorthair Mix";"White/Black";5
"A703606";41;"07/07/2015 06:21:00 PM";"Adoption";"05/27/2015 12:47:00 PM";"Stray";"Domestic Medium Hair Mix";"Blue/White";3
"A634608";47;"12/27/2013 03:49:00 PM";"Transfer";"11/10/2013 12:59:00 PM";"Owner Surrender";"Domestic Shorthair Mix";"Blue Tabby";36
"A736100";30;"11/03/2016 10:42:00 PM";"Adoption";"10/04/2016 10:32:00 AM";"Owner Surrender";"Domestic Shorthair Mix";"Black/White";72
"A683052";1;"07/07/2014 09:00:00 AM";"Transfer";"07/06/2014 02:30:00 PM";"Stray";"Domestic Shorthair Mix";"Cream Tabby/White";12
"A743823";1;"02/18/2017 09:00:00 AM";"Transfer";"02/17/2017 03:36:00 PM";"Stray";"Domestic Shorthair Mix";"Brown Tabby";12
"A696033";4;"02/01/2015 10:15:00 AM";"Euthanasia";"01/28/2015 08:10:00 AM";"Stray";"Domestic Shorthair Mix";"Calico";12
"A681891";1;"06/22/2014 09:00:00 AM";"Transfer";"06/21/2014 02:31:00 PM";"Stray";"Domestic Longhair Mix";"Orange Tabby/White";24
"A753600";3;"07/11/2017 07:02:00 PM";"Transfer";"07/08/2017 02:29:00 PM";"Stray";"Domestic Shorthair Mix";"Tortie";5
"A671422";19;"02/12/2014 10:36:00 AM";"Adoption";"01/24/2014 07:40:00 AM";"Public Assist";"Domestic Shorthair Mix";"Brown Tabby";12
"A711743";1;"09/12/2015 09:00:00 AM";"Transfer";"09/11/2015 03:00:00 PM";"Stray";"Domestic Shorthair Mix";"Blue Tabby/White";12
"A689158";7;"10/07/2014 04:08:00 PM";"Transfer";"09/30/2014 10:54:00 AM";"Stray";"Domestic Shorthair Mix";"Blue";1
"A700198";2;"04/11/2015 05:57:00 PM";"Adoption";"04/09/2015 02:00:00 PM";"Owner Surrender";"Siamese Mix";"Flame Point";6
"A750687";32;"07/01/2017 05:26:00 PM";"Adoption";"05/30/2017 01:07:00 PM";"Stray";"Siamese Mix";"Lynx Point";1
"A734278";1;"09/04/2016 09:00:00 AM";"Transfer";"09/03/2016 04:42:00 PM";"Stray";"Domestic Shorthair Mix";"Brown Tabby";24
"A719209";6;"01/21/2016 11:09:00 AM";"Adoption";"01/15/2016 12:17:00 PM";"Owner Surrender";"Domestic Shorthair Mix";"Black";3
"A721988";7;"04/02/2016 01:52:00 PM";"Adoption";"03/26/2016 12:50:00 PM";"Owner Surrender";"Domestic Shorthair Mix";"Brown Tabby/White";11
"A763581";4;"12/15/2017 07:24:00 PM";"Transfer";"12/11/2017 01:10:00 PM";"Stray";"Domestic Shorthair Mix";"Brown Tabby";12
"A683956";10;"07/27/2014 04:19:00 PM";"Adoption";"07/17/2014 02:59:00 PM";"Stray";"Domestic Shorthair Mix";"Orange Tabby";36
"A768842";4;"03/30/2018 12:03:00 PM";"Transfer";"03/26/2018 11:17:00 AM";"Stray";"Siamese";"White/Gray";12
"A719087";8;"01/20/2016 07:01:00 PM";"Transfer";"01/12/2016 01:48:00 PM";"Stray";"Domestic Shorthair Mix";"Black";12
"A707511";4;"07/18/2015 08:05:00 PM";"Adoption";"07/14/2015 11:22:00 AM";"Owner Surrender";"Domestic Shorthair Mix";"Brown Tabby/White";2
"A715094";49;"12/19/2015 05:25:00 PM";"Adoption";"10/31/2015 12:56:00 PM";"Stray";"Domestic Shorthair Mix";"Blue Tabby/White";4
"A701501";31;"05/31/2015 03:03:00 PM";"Adoption";"04/30/2015 01:03:00 PM";"Stray";"Domestic Medium Hair Mix";"Brown Tabby";1
"A672453";6;"02/16/2014 07:38:00 PM";"Adoption";"02/10/2014 01:36:00 PM";"Stray";"Domestic Medium Hair Mix";"Cream Tabby";10
"A763028";37;"01/07/2018 05:16:00 PM";"Adoption";"12/01/2017 04:01:00 PM";"Owner Surrender";"Domestic Shorthair Mix";"Black/White";6
"A688471";63;"11/21/2014 11:30:00 AM";"Adoption";"09/19/2014 02:28:00 PM";"Stray";"Domestic Shorthair Mix";"Brown Tabby";1
"A703807";75;"08/12/2015 02:35:00 PM";"Adoption";"05/29/2015 11:16:00 AM";"Stray";"Domestic Shorthair Mix";"Blue Tabby/White";4
"A720380";6;"02/14/2016 06:31:00 PM";"Adoption";"02/08/2016 12:39:00 PM";"Owner Surrender";"Persian";"Silver";168
"A677473";4;"04/29/2014 11:31:00 AM";"Euthanasia";"04/25/2014 01:36:00 PM";"Stray";"Domestic Shorthair Mix";"Blue Cream/White";156
"A758624";4;"09/23/2017 11:09:00 AM";"Transfer";"09/19/2017 01:09:00 PM";"Stray";"Domestic Medium Hair Mix";"Gray";24
"A731633";58;"09/21/2016 06:00:00 PM";"Adoption";"07/25/2016 11:47:00 AM";"Stray";"Domestic Shorthair Mix";"Brown Tabby/White";132
"A729100";55;"08/07/2016 06:18:00 PM";"Adoption";"06/13/2016 03:46:00 PM";"Stray";"Domestic Shorthair Mix";"Black/White";3
"A671306";73;"04/05/2014 01:20:00 PM";"Adoption";"01/22/2014 01:19:00 PM";"Stray";"Domestic Longhair Mix";"Orange Tabby";5
"A687539";45;"10/21/2014 08:35:00 AM";"Adoption";"09/06/2014 11:17:00 AM";"Stray";"Siamese Mix";"Lynx Point";4
"A685107";31;"09/02/2014 06:00:00 PM";"Adoption";"08/02/2014 01:55:00 PM";"Stray";"Domestic Shorthair Mix";"Brown Tabby";3
"A702904";57;"07/15/2015 07:02:00 PM";"Adoption";"05/19/2015 10:54:00 AM";"Stray";"Domestic Medium Hair Mix";"Brown Tabby";3
"A717620";25;"01/05/2016 01:20:00 PM";"Transfer";"12/11/2015 01:56:00 PM";"Owner Surrender";"Domestic Medium Hair Mix";"Black/White";12
"A738226";11;"11/22/2016 12:00:00 AM";"Transfer";"11/11/2016 01:20:00 PM";"Stray";"Domestic Shorthair Mix";"Brown Tabby";48
"A733184";2;"08/20/2016 11:44:00 AM";"Transfer";"08/18/2016 02:25:00 PM";"Stray";"Domestic Shorthair Mix";"Brown Tabby";1
"A758567";13;"10/01/2017 05:13:00 PM";"Adoption";"09/18/2017 05:13:00 PM";"Stray";"Domestic Shorthair Mix";"Brown Tabby";1
"A746945";4;"04/15/2017 06:35:00 PM";"Transfer";"04/11/2017 02:31:00 PM";"Stray";"Domestic Medium Hair Mix";"Torbie";12
"A766351";5;"02/12/2018 06:09:00 PM";"Transfer";"02/07/2018 12:52:00 PM";"Stray";"Domestic Shorthair Mix";"Tortie";12
"A758769";43;"11/04/2017 03:57:00 PM";"Adoption";"09/22/2017 04:19:00 PM";"Stray";"Domestic Shorthair Mix";"Black Smoke/White";9
"A697305";66;"04/28/2015 12:53:00 PM";"Adoption";"02/21/2015 01:22:00 PM";"Owner Surrender";"Domestic Shorthair Mix";"Tortie";6
"A677762";4;"05/03/2014 12:25:00 PM";"Transfer";"04/29/2014 11:04:00 AM";"Stray";"Domestic Longhair Mix";"Tortie";48
"A683294";3;"07/12/2014 09:00:00 AM";"Transfer";"07/09/2014 07:02:00 AM";"Stray";"Domestic Shorthair Mix";"Brown Tabby/White";3
"A727470";70;"07/31/2016 02:08:00 PM";"Adoption";"05/22/2016 01:56:00 PM";"Stray";"Domestic Shorthair Mix";"Torbie";3
"A761550";39;"12/15/2017 05:45:00 PM";"Adoption";"11/06/2017 04:47:00 PM";"Stray";"Domestic Shorthair Mix";"Black/White";12
"A712980";12;"10/04/2015 03:03:00 PM";"Transfer";"09/22/2015 12:28:00 PM";"Stray";"Domestic Shorthair Mix";"Black";0
"A678270";132;"09/15/2014 02:33:00 PM";"Adoption";"05/06/2014 02:28:00 PM";"Stray";"Domestic Shorthair Mix";"Blue";4
"A712245";2;"09/21/2015 03:57:00 PM";"Transfer";"09/19/2015 03:38:00 PM";"Stray";"Domestic Shorthair Mix";"Brown Tabby";1
"A702485";50;"07/03/2015 11:45:00 AM";"Adoption";"05/14/2015 01:18:00 PM";"Owner Surrender";"Domestic Shorthair Mix";"Brown Tabby/White";96
"A690556";3;"10/25/2014 10:54:00 AM";"Transfer";"10/22/2014 01:18:00 PM";"Owner Surrender";"Domestic Shorthair Mix";"Blue Tabby";4
"A751072";4;"06/07/2017 12:00:00 AM";"Transfer";"06/03/2017 05:45:00 PM";"Stray";"Domestic Shorthair Mix";"Orange Tabby";12
"A707686";37;"08/22/2015 11:39:00 AM";"Adoption";"07/16/2015 11:05:00 AM";"Stray";"Domestic Shorthair Mix";"Tortie";1
"A673432";6;"03/02/2014 03:53:00 PM";"Transfer";"02/24/2014 11:06:00 AM";"Stray";"Domestic Shorthair Mix";"Brown Tabby/White";8
"A767027";4;"02/25/2018 04:48:00 PM";"Adoption";"02/21/2018 12:38:00 PM";"Owner Surrender";"Domestic Shorthair Mix";"Tortie";60
"A664293";11;"10/12/2013 11:10:00 AM";"Transfer";"10/01/2013 04:03:00 PM";"Stray";"Domestic Medium Hair Mix";"Black/White";1
"A668981";4;"12/16/2013 01:05:00 PM";"Euthanasia";"12/12/2013 02:27:00 PM";"Stray";"Domestic Shorthair Mix";"Orange Tabby";144
