"pages";"major";"year"
122;"agricultural and applied economics";2011
206;"education curriculum and instruction";2012
156;"educational policy and administration";2013
294;"educational policy and administration";2008
185;"educational policy and administration";2013
177;"educational psychology";2008
208;"kinesiology";2013
200;"music";2012
122;"english";2009
262;"hispanic and luso literatures cultures and linguistics";2011
130;"educational policy and administration";2009
194;"education curriculum and instruction";2010
157;"electrical engineering";2008
213;"work and human resource education";2009
132;"molecular cellular developmental biology and genetics";2011
103;"civil engineering";2013
158;"mathematics";2009
156;"physics";2008
307;"history";2011
262;"computer science";2013
90;"mathematics";2013
167;"educational psychology";2013
208;"sociology";2012
129;"electrical engineering";2011
208;"plant biological sciences";2008
114;"civil engineering";2014
195;"kinesiology";2013
124;"physics";2009
250;"comparative literature";2009
276;"rhetoric and scientific and technical communication";2010
211;"educational policy and administration";2012
124;"chemistry";2013
116;"conservation biology";2010
81;"kinesiology";2011
203;"molecular cellular developmental biology and genetics";2012
303;"linguistics";2009
175;"applied economics";2013
306;"psychology";2011
252;"educational policy and administration";2012
88;"economics";2012
116;"biochemistry molecular biology and biophysics";2009
142;"sociology";2013
204;"biochemistry molecular biology and biophysics";2010
194;"design";2012
205;"environmental health";2013
163;"work and human resource education";2013
99;"computer science";2011
130;"mass communication";2009
224;"american studies";2011
63;"mathematics";2010
110;"mass communication";2010
173;"mechanical engineering";2008
126;"chemical engineering";2013
200;"political science";2008
264;"social work";2011
108;"plant pathology";2010
267;"political science";2008
136;"molecular cellular developmental biology and genetics";2013
46;"economics";2009
136;"psychology";2012
474;"communication studies";2012
114;"astrophysics";2011
169;"nutrition";2009
100;"psychology";2014
185;"social administrative and clinical pharmacy";2010
130;"social work";2012
99;"civil engineering";2012
185;"chemistry";2012
216;"chemistry";2013
103;"educational psychology";2008
339;"geography";2010
89;"ecology evolution and behavior";2012
140;"work and human resource education";2011
124;"child psychology";2012
191;"biochemistry molecular biology and biophysics";2009
103;"computer science";2011
135;"educational psychology";2008
110;"biochemistry molecular biology and biophysics";2013
244;"comparative and molecular biosciences";2010
131;"teaching and learning";2011
141;"aerospace engineering and mechanics";2011
130;"educational policy and administration";2009
92;"family social science";2013
201;"electrical engineering";2011
198;"civil engineering";2011
139;"environmental health";2009
534;"chemistry";2012
120;"educational policy and administration";2013
124;"microbiology immunology and cancer biology";2009
347;"education curriculum and instruction";2010
221;"work and human resource education";2013
149;"computer science";2013
84;"molecular cellular developmental biology and genetics";2009
123;"computer science";2010
154;"work and human resource education";2009
157;"computer science";2009
136;"material science and engineering";2010
141;"electrical engineering";2011
148;"computer science";2013
170;"physics";2012
111;"biomedical engineering";2013
110;"applied plant sciences";2009
67;"mathematics";2013
211;"industrial and systems engineering";2013
283;"electrical engineering";2012
152;"biomedical engineering";2010
103;"computer science";2013
141;"electrical engineering";2011
39;"business administration";2011
130;"psychology";2009
276;"history";2010
139;"biochemistry molecular biology and biophysics";2009
112;"computer science";2013
76;"electrical engineering";2011
292;"educational policy and administration";2011
108;"social work";2013
147;"social and administrative pharmacy";2012
125;"computer science";2010
135;"material science and engineering";2009
159;"chemistry";2012
163;"work and human resource education";2009
95;"educational psychology";2012
181;"physics";2012
295;"art history";2009
169;"neuroscience";2008
326;"educational policy and administration";2011
197;"sociology";2012
277;"teaching and learning";2012
140;"educational policy and administration";2012
124;"philosophy";2009
141;"microbiology immunology and cancer biology";2011
176;"education curriculum and instruction";2011
183;"education curriculum and instruction";2007
222;"geography";2011
145;"educational psychology";2011
117;"conservation biology";2012
119;"linguistics";2012
226;"nursing";2012
149;"chemical engineering";2013
123;"statistics";2011
331;"educational policy and administration";2011
111;"microbiology immunology and cancer biology";2010
126;"psychology";2011
82;"oral biology";2011
136;"communication studies";2010
280;"educational policy and administration";2009
140;"education curriculum and instruction";2013
249;"psychology";2013
223;"mass communication";2010
137;"nursing";2010
95;"kinesiology";2012
139;"computer science";2011
128;"veterinary medicine";2012
185;"pharmacology";2011
171;"molecular cellular developmental biology and genetics";2010
151;"educational policy and administration";2011
164;"mechanical engineering";2013
178;"social work";2009
118;"design housing and apparel";2012
183;"comparative and molecular biosciences";2009
182;"political science";2013
81;"psychology";2013
74;"aerospace engineering and mechanics";2012
142;"conservation biology";2014
79;"applied plant sciences";2010
171;"aerospace engineering and mechanics";2013
129;"educational psychology";2008
152;"linguistics";2011
224;"mass communication";2009
114;"psychology";2009
113;"psychology";2009
215;"material science and engineering";2010
205;"nursing";2011
118;"neuroscience";2009
138;"psychology";2012
118;"material science and engineering";2012
373;"english";2008
237;"english";2010
260;"political science";2010
201;"educational policy and administration";2009
150;"physics";2013
96;"family social science";2012
140;"education curriculum and instruction";2014
94;"computer science";2011
187;"experimental and clinical pharmacology";2013
176;"sociology";2011
169;"design";2012
67;"economics";2010
143;"design housing and apparel";2009
201;"civil engineering";2010
228;"psychology";2009
433;"political science";2008
121;"molecular cellular developmental biology and genetics";2013
104;"applied plant sciences";2013
211;"chemical engineering";2009
221;"english";2013
168;"educational psychology";2010
91;"conservation biology";2012
256;"food science";2011
130;"geography";2010
141;"biochemistry molecular biology and biophysics";2009
53;"economics";2013
244;"germanic studies";2008
83;"economics";2009
208;"educational policy and administration";2009
156;"biochemistry molecular biology and biophysics";2010
169;"educational psychology";2009
97;"chemistry";2010
65;"child psychology";2009
140;"computer science";2013
141;"electrical engineering";2010
93;"natural resources science and management";2013
201;"psychology";2013
124;"mechanical engineering";2013
227;"educational policy and administration";2012
197;"education curriculum and instruction";2010
142;"physics";2011
336;"communication studies";2009
340;"education curriculum and instruction";2010
221;"geology";2010
164;"microbiology immunology and cancer biology";2009
272;"education work/community/family education";2010
211;"animal sciences";2011
76;"child psychology";2008
251;"medicinal chemistry";2008
287;"mechanical engineering";2010
271;"rhetoric and scientific and technical communication";2009
92;"mathematics";2009
207;"ecology evolution and behavior";2009
157;"work and human resource education";2010
176;"linguistics";2012
144;"natural resources science and management";2011
348;"education curriculum and instruction";2013
129;"child psychology";2010
184;"english";2009
83;"work and human resource education";2013
105;"electrical engineering";2009
141;"computer science";2011
172;"linguistics";2009
171;"oral biology";2011
483;"communication studies";2010
125;"biochemistry molecular biology and biophysics";2009
144;"material science and engineering";2012
163;"social administrative and clinical pharmacy";2010
227;"social work";2013
144;"psychology";2011
102;"social administrative and clinical pharmacy";2012
190;"molecular cellular developmental biology and genetics";2009
159;"psychology";2010
152;"electrical engineering";2010
214;"english";2009
53;"mathematics";2013
119;"statistics";2011
132;"molecular cellular developmental biology and genetics";2012
230;"english";2013
161;"electrical engineering";2009
166;"veterinary medicine";2012
161;"experimental and clinical pharmacology";2011
70;"economics";2013
177;"chemical engineering";2009
68;"business administration";2011
234;"nutrition";2013
123;"design housing and apparel";2009
65;"mathematics";2013
129;"computer science";2010
125;"psychology";2013
98;"kinesiology";2009
252;"business administration";2008
64;"economics";2013
124;"electrical engineering";2012
120;"psychology";2013
96;"electrical engineering";2013
110;"electrical engineering";2010
238;"molecular cellular developmental biology and genetics";2013
203;"environmental health";2008
197;"education curriculum and instruction";2010
87;"biostatistics";2012
193;"electrical engineering";2009
120;"molecular cellular developmental biology and genetics";2008
146;"microbiology immunology and cancer biology";2009
158;"education rec/park/leisure studies";2010
233;"business administration";2009
220;"education curriculum and instruction";2013
95;"electrical engineering";2009
179;"human resources and industrial relations";2012
151;"electrical engineering";2013
250;"germanic studies";2009
163;"geophysics";2010
178;"kinesiology";2012
187;"education curriculum and instruction";2009
254;"anthropology";2010
252;"political science";2011
290;"applied economics";2011
167;"natural resources science and management";2009
132;"work community and family education";2011
246;"social administrative and clinical pharmacy";2009
164;"psychology";2011
183;"education curriculum and instruction";2010
187;"physics";2008
184;"biochemistry molecular biology and biophysics";2012
397;"psychology";2010
94;"chemistry";2009
203;"educational policy and administration";2008
115;"educational psychology";2013
182;"nutrition";2012
215;"english";2011
143;"microbiology immunology and cancer biology";2012
122;"education curriculum and instruction";2011
154;"molecular cellular developmental biology and genetics";2012
171;"entomology";2011
231;"educational psychology";2008
158;"rehabilitation science";2013
197;"business administration";2010
150;"food science";2013
210;"educational policy and administration";2012
100;"economics";2012
165;"biostatistics";2011
118;"work and human resource education";2013
127;"computer science";2009
134;"agricultural and applied economics";2010
132;"agricultural and applied economics";2008
185;"design housing and apparel";2012
199;"pharmacology";2009
292;"political science";2009
140;"pharmaceutics";2014
193;"mechanical engineering";2009
172;"physics";2012
156;"philosophy";2009
161;"ecology evolution and behavior";2013
315;"geography";2013
198;"civil engineering";2010
73;"child psychology";2009
239;"natural resources science and management";2011
173;"sociology";2013
185;"human resources and industrial relations";2009
152;"family social science";2011
109;"biochemistry molecular biology and biophysics";2013
164;"food science";2010
212;"speech-language-hearing sciences";2011
55;"business administration";2012
121;"aerospace engineering and mechanics";2012
117;"electrical engineering";2009
117;"nursing";2009
179;"nursing";2012
58;"family social science";2011
130;"molecular cellular developmental biology and genetics";2008
133;"mechanical engineering";2012
154;"education curriculum and instruction";2014
163;"art history";2011
107;"chemical engineering";2009
132;"electrical engineering";2013
104;"educational policy and administration";2013
195;"work and human resource education";2013
262;"design housing and apparel";2012
195;"education work/community/family education";2014
298;"sociology";2013
125;"computer science";2009
232;"mechanical engineering";2008
90;"electrical engineering";2013
96;"material science and engineering";2010
207;"electrical engineering";2009
140;"computer science";2012
53;"physics";2008
235;"communication studies";2012
156;"electrical engineering";2013
93;"neuroscience";2009
195;"educational policy and administration";2010
150;"biochemistry molecular biology and biophysics";2009
109;"design";2010
125;"psychology";2010
128;"business administration";2011
154;"chemical engineering";2010
222;"american studies";2011
182;"biochemistry molecular biology and biophysics";2012
173;"medicinal chemistry";2013
181;"education work/community/family education";2011
123;"child psychology";2012
264;"veterinary medicine";2009
98;"biochemistry molecular biology and biophysics";2011
150;"material science and engineering";2013
308;"education work/community/family education";2008
268;"linguistics";2010
119;"biomedical engineering";2011
86;"mathematics";2011
171;"computer science";2012
179;"comparative and molecular biosciences";2012
153;"medicinal chemistry";2012
101;"economics";2009
146;"psychology";2010
132;"psychology";2009
205;"nursing";2011
99;"molecular cellular developmental biology and genetics";2012
236;"environmental health";2009
136;"mass communication";2010
135;"child psychology";2011
136;"electrical engineering";2010
529;"chemistry";2009
160;"mechanical engineering";2013
253;"english";2013
140;"industrial and systems engineering";2010
157;"mechanical engineering";2010
176;"geography";2009
167;"animal sciences";2009
136;"education rec/park/leisure studies";2009
131;"microbiology immunology and cancer biology";2011
312;"hispanic and luso literatures cultures and linguistics";2010
170;"kinesiology";2010
116;"conservation biology";2014
136;"comparative and molecular biosciences";2010
257;"geology";2011
79;"family social science";2008
271;"art history";2011
196;"germanic studies";2014
188;"civil engineering";2012
273;"anthropology";2009
143;"educational psychology";2013
167;"food science";2008
137;"molecular cellular developmental biology and genetics";2012
108;"electrical engineering";2013
178;"food science";2010
133;"mechanical engineering";2010
219;"biochemistry molecular biology and biophysics";2014
148;"communication studies";2013
135;"educational policy and administration";2011
79;"educational psychology";2011
86;"aerospace engineering and mechanics";2013
126;"educational psychology";2011
168;"work and human resource education";2010
190;"mass communication";2011
255;"chemical engineering";2014
179;"family social science";2009
142;"mathematics";2012
147;"family social science";2013
203;"chemical engineering";2010
166;"electrical engineering";2010
113;"plant biological sciences";2010
152;"statistics";2010
119;"educational psychology";2009
102;"biostatistics";2011
278;"chemical engineering";2011
190;"biomedical engineering";2012
99;"psychology";2009
89;"electrical engineering";2009
119;"physics";2013
158;"education curriculum and instruction";2012
189;"germanic studies";2009
158;"health services research policy and administration";2011
190;"education curriculum and instruction";2012
258;"civil engineering";2012
134;"chemistry";2010
131;"microbiology immunology and cancer biology";2010
142;"mechanical engineering";2013
145;"comparative and molecular biosciences";2012
192;"chemistry";2012
306;"history";2011
271;"food science";2009
121;"educational psychology";2012
708;"history";2013
126;"statistics";2012
91;"physics";2011
261;"political science";2011
149;"educational psychology";2009
185;"chemical engineering";2009
158;"psychology";2010
157;"physics";2009
83;"family social science";2013
218;"education curriculum and instruction";2012
289;"education rec/park/leisure studies";2009
124;"statistics";2013
124;"linguistics";2012
178;"chemistry";2010
122;"mathematics";2012
104;"physics";2012
62;"economics";2009
136;"epidemiology";2010
105;"comparative and molecular biosciences";2011
74;"economics";2011
117;"industrial and systems engineering";2010
214;"pharmaceutics";2010
51;"bioproducts/biosystems science engineering and management";2012
128;"mathematics";2012
175;"mathematics";2011
145;"biostatistics";2008
156;"chemistry";2010
95;"biostatistics";2012
98;"mathematics";2012
47;"mathematics";2013
137;"computer science";2013
181;"bioproducts/biosystems science engineering and management";2012
219;"biosystems and agricultural engineering";2012
105;"aerospace engineering and mechanics";2013
136;"civil engineering";2013
110;"material science and engineering";2011
159;"material science and engineering";2012
105;"civil engineering";2011
340;"political science";2009
172;"applied economics";2012
151;"biochemistry molecular biology and biophysics";2012
84;"electrical engineering";2013
214;"electrical engineering";2012
198;"bioproducts/biosystems science engineering and management";2013
190;"education rec/park/leisure studies";2010
147;"computer science";2013
272;"scientific computation";2010
123;"physics";2011
150;"social administrative and clinical pharmacy";2010
203;"chemistry";2012
114;"psychology";2012
107;"computer science";2012
287;"epidemiology";2010
210;"chemical engineering";2012
136;"pharmacology";2011
464;"political science";2010
127;"educational psychology";2013
100;"organizational leadership policy and development";2013
93;"geophysics";2013
112;"microbiology immunology and cancer biology";2012
144;"mechanical engineering";2013
120;"child psychology";2012
138;"veterinary medicine";2013
244;"psychology";2011
237;"electrical engineering";2009
192;"work community and family education";2010
207;"teaching and learning";2013
163;"education work/community/family education";2013
120;"mathematics";2013
124;"chemical engineering";2011
102;"mechanical engineering";2009
104;"mathematics";2009
162;"biomedical engineering";2010
87;"applied economics";2012
119;"biochemistry molecular biology and biophysics";2009
105;"mathematics";2013
117;"mechanical engineering";2012
272;"medicinal chemistry";2009
339;"history";2009
213;"animal sciences";2012
114;"electrical engineering";2010
97;"mechanical engineering";2014
130;"statistics";2010
176;"biomedical engineering";2010
203;"medicinal chemistry";2009
199;"electrical engineering";2009
150;"plant biological sciences";2012
82;"mathematics";2011
181;"scientific computation";2008
182;"biomedical engineering";2008
166;"educational policy and administration";2009
246;"education curriculum and instruction";2009
261;"political science";2012
239;"educational policy and administration";2013
114;"biochemistry molecular biology and biophysics";2011
194;"material science and engineering";2012
239;"medicinal chemistry";2008
100;"microbiology immunology and cancer biology";2010
133;"environmental health";2010
282;"kinesiology";2014
269;"educational policy and administration";2009
117;"child psychology";2012
104;"social administrative and clinical pharmacy";2009
142;"sociology";2011
113;"civil engineering";2012
131;"molecular cellular developmental biology and genetics";2009
197;"linguistics";2011
99;"conservation biology";2011
232;"epidemiology";2013
106;"physics";2011
145;"mechanical engineering";2011
69;"microbiology immunology and cancer biology";2012
135;"family social science";2010
41;"kinesiology";2013
104;"computer science";2012
102;"linguistics";2012
175;"education work/community/family education";2010
124;"teaching and learning";2011
164;"geology";2011
120;"physics";2012
128;"computer science";2011
103;"neuroscience";2010
280;"political science";2012
170;"veterinary medicine";2009
154;"civil engineering";2008
109;"computer science";2012
221;"english";2012
73;"economics";2013
197;"applied plant sciences";2013
151;"hispanic and luso-brazilian literatures and linguistics";2009
88;"pharmacology";2013
287;"communication studies";2010
284;"art history";2011
141;"pharmaceutics";2010
114;"chemical engineering";2009
104;"applied plant sciences";2009
162;"education curriculum and instruction";2011
103;"statistics";2013
142;"electrical engineering";2009
220;"applied economics";2010
137;"civil engineering";2013
116;"neuroscience";2010
187;"business administration";2013
194;"anthropology";2010
124;"chemical engineering";2012
87;"business administration";2013
293;"plant pathology";2013
119;"economics";2011
84;"health informatics";2014
141;"sociology";2010
192;"computer science";2012
162;"psychology";2011
330;"history";2009
203;"geography";2010
67;"economics";2009
276;"education rec/park/leisure studies";2009
199;"communication studies";2009
303;"american studies";2011
228;"education work/community/family education";2011
155;"work and human resource education";2013
203;"child psychology";2010
87;"child psychology";2010
136;"economics";2010
190;"neuroscience";2010
216;"education curriculum and instruction";2013
113;"microbiology immunology and cancer biology";2007
110;"child psychology";2009
477;"music";2011
368;"history of science technology and medicine";2013
160;"nursing";2011
143;"conservation biology";2010
309;"history";2012
294;"theatre arts";2012
156;"sociology";2011
190;"chemical engineering";2013
265;"history";2012
276;"history";2010
120;"nursing";2012
113;"computer science";2013
196;"education curriculum and instruction";2013
212;"chemistry";2009
163;"geography";2011
126;"electrical engineering";2012
136;"sociology";2013
93;"child psychology";2012
118;"epidemiology";2010
270;"geology";2010
105;"comparative and molecular biosciences";2009
136;"aerospace engineering and mechanics";2011
174;"education curriculum and instruction";2010
145;"family social science";2011
205;"chemistry";2012
172;"comparative and molecular biosciences";2011
179;"kinesiology";2009
234;"chemistry";2010
233;"communication studies";2009
114;"educational psychology";2008
136;"material science and engineering";2013
168;"economics";2009
176;"biochemistry molecular biology and biophysics";2012
180;"computer science";2012
305;"educational policy and administration";2013
228;"social work";2013
204;"educational policy and administration";2013
73;"health informatics";2011
229;"theatre arts";2011
186;"molecular cellular developmental biology and genetics";2013
200;"geography";2010
242;"hispanic and luso-brazilian literatures and linguistics";2010
196;"educational policy and administration";2008
150;"design housing and apparel";2008
233;"geology";2009
240;"chemistry";2008
185;"applied plant sciences";2013
234;"computer science";2009
108;"ecology evolution and behavior";2011
123;"applied plant sciences";2010
294;"social work";2013
212;"sociology";2013
153;"anthropology";2014
117;"psychology";2012
220;"civil engineering";2012
160;"english";2013
172;"comparative and molecular biosciences";2010
166;"astrophysics";2010
272;"education curriculum and instruction";2010
244;"educational psychology";2013
66;"neuroscience";2011
161;"astrophysics";2011
181;"biomedical engineering";2012
152;"microbiology immunology and cancer biology";2013
108;"computer science";2013
140;"ecology evolution and behavior";2012
201;"comparative and molecular biosciences";2010
234;"rhetoric and scientific and technical communication";2012
186;"anthropology";2011
185;"astrophysics";2011
211;"plant pathology";2011
332;"hispanic and luso literatures cultures and linguistics";2010
104;"educational psychology";2011
286;"geography";2009
178;"civil engineering";2011
67;"mathematics";2010
87;"kinesiology";2009
178;"water resources science";2009
135;"veterinary medicine";2011
329;"chemical engineering";2009
147;"physics";2009
199;"business administration";2012
323;"educational policy and administration";2013
135;"chemistry";2010
275;"plant pathology";2011
184;"psychology";2009
117;"economics";2012
346;"political science";2012
305;"english";2014
368;"conservation biology";2011
57;"mathematics";2013
143;"environmental health";2013
276;"education curriculum and instruction";2010
171;"psychology";2013
98;"economics";2009
275;"english";2009
104;"economics";2009
278;"natural resources science and management";2013
246;"electrical engineering";2013
198;"biochemistry molecular biology and biophysics";2013
116;"child psychology";2010
132;"astrophysics";2011
177;"design";2013
277;"education work/community/family education";2012
143;"biomedical engineering";2012
180;"pharmacology";2012
166;"computer science";2013
201;"business administration";2009
75;"neuroscience";2011
248;"history";2008
140;"educational policy and administration";2012
137;"educational policy and administration";2009
198;"ecology evolution and behavior";2010
336;"sociology";2009
242;"electrical engineering";2013
115;"ecology evolution and behavior";2011
123;"biochemistry molecular biology and biophysics";2013
143;"history";2013
102;"chemistry";2009
161;"electrical engineering";2010
165;"computer science";2012
108;"computer science";2012
258;"chemistry";2011
320;"history";2013
133;"sociology";2014
96;"physics";2010
170;"education curriculum and instruction";2011
133;"educational psychology";2009
87;"biostatistics";2012
104;"teaching and learning";2013
208;"material science and engineering";2008
133;"applied economics";2012
238;"civil engineering";2012
89;"health informatics";2012
287;"mass communication";2012
237;"work community and family education";2011
84;"educational psychology";2010
288;"history";2010
348;"communication studies";2012
239;"molecular cellular developmental biology and genetics";2012
301;"biomedical engineering";2012
101;"electrical engineering";2009
142;"civil engineering";2013
146;"nursing";2013
102;"food science";2008
144;"chemistry";2009
84;"pharmacology";2012
116;"chemistry";2008
463;"anthropology";2012
132;"education curriculum and instruction";2011
109;"electrical engineering";2011
275;"history";2011
252;"geography";2010
114;"natural resources science and management";2013
198;"epidemiology";2013
163;"chemistry";2011
134;"statistics";2011
163;"education curriculum and instruction";2010
136;"electrical engineering";2009
210;"educational policy and administration";2011
304;"history";2008
116;"mechanical engineering";2013
129;"molecular cellular developmental biology and genetics";2012
466;"organizational leadership policy and development";2014
325;"american studies";2010
89;"psychology";2010
145;"organizational leadership policy and development";2014
108;"computer science";2013
185;"teaching and learning";2013
115;"epidemiology";2013
137;"nursing";2012
316;"chemistry";2010
142;"mass communication";2009
235;"family social science";2012
111;"kinesiology";2010
215;"feminist studies";2010
225;"computer science";2013
159;"chemical engineering";2009
323;"history";2010
160;"plant biological sciences";2011
352;"chemical engineering";2009
199;"educational policy and administration";2011
269;"history";2013
198;"physics";2013
102;"computer science";2010
187;"natural resources science and management";2008
103;"economics";2011
65;"economics";2011
291;"music";2013
234;"psychology";2014
160;"electrical engineering";2012
270;"kinesiology";2011
217;"educational policy and administration";2009
158;"biochemistry molecular biology and biophysics";2012
127;"molecular cellular developmental biology and genetics";2012
177;"civil engineering";2009
224;"chemistry";2009
200;"nursing";2013
270;"political science";2009
150;"health services research policy and administration";2008
102;"kinesiology";2013
78;"business administration";2012
171;"educational policy and administration";2009
109;"philosophy";2013
194;"educational psychology";2010
301;"communication studies";2009
153;"business administration";2011
180;"computer science";2014
145;"teaching and learning";2013
109;"educational policy and administration";2011
137;"music";2010
187;"geography";2011
93;"electrical engineering";2013
158;"pharmacology";2011
218;"educational policy and administration";2012
248;"neuroscience";2009
160;"work and human resource education";2013
205;"linguistics";2013
204;"american studies";2013
198;"environmental health";2009
238;"political science";2010
149;"aerospace engineering and mechanics";2013
117;"teaching and learning";2012
219;"human resources and industrial relations";2009
146;"civil engineering";2009
235;"education curriculum and instruction";2012
244;"psychology";2013
419;"comparative studies in discourse and society";2013
164;"microbiology immunology and cancer biology";2012
383;"chemistry";2014
64;"environmental health";2011
227;"germanic studies";2012
160;"mechanical engineering";2013
123;"educational policy and administration";2011
199;"chemistry";2012
183;"epidemiology";2009
113;"microbiology immunology and cancer biology";2013
212;"molecular cellular developmental biology and genetics";2009
135;"electrical engineering";2010
108;"work and human resource education";2013
97;"electrical engineering";2012
176;"biochemistry molecular biology and biophysics";2011
154;"statistics";2011
221;"microbiology immunology and cancer biology";2012
167;"entomology";2014
131;"child psychology";2009
92;"physics";2012
176;"material science and engineering";2010
278;"anthropology";2010
162;"chemical engineering";2012
199;"psychology";2010
185;"chemistry";2012
176;"work and human resource education";2009
111;"design housing and apparel";2009
224;"social and administrative pharmacy";2013
169;"nutrition";2013
114;"plant biological sciences";2010
191;"work and human resource education";2012
225;"music";2013
252;"nutrition";2010
82;"electrical engineering";2010
129;"microbiology immunology and cancer biology";2009
47;"business administration";2012
222;"work and human resource education";2009
235;"hispanic and luso literatures cultures and linguistics";2011
322;"history";2012
188;"educational policy and administration";2009
264;"geography";2008
246;"health services research policy and administration";2009
127;"neuroscience";2010
176;"chemical engineering";2012
124;"aerospace engineering and mechanics";2013
135;"economics";2010
86;"physics";2013
61;"physics";2011
194;"chemical engineering";2010
185;"computer science";2009
107;"computer science";2014
132;"microbiology immunology and cancer biology";2012
147;"computer science";2012
327;"educational policy and administration";2013
117;"biomedical engineering";2011
89;"physics";2011
456;"history";2011
127;"business administration";2011
134;"philosophy";2012
176;"computer science";2010
177;"chemical engineering";2012
180;"aerospace engineering and mechanics";2010
153;"chemical engineering";2012
135;"biomedical engineering";2013
186;"neuroscience";2011
487;"american studies";2009
239;"american studies";2010
130;"computer science";2012
191;"social work";2009
252;"chemical engineering";2008
106;"business administration";2011
165;"environmental health";2009
121;"plant pathology";2011
123;"chemical engineering";2013
81;"statistics";2013
135;"human resources and industrial relations";2010
248;"education curriculum and instruction";2013
129;"computer science";2010
110;"electrical engineering";2013
163;"design";2013
112;"economics";2013
172;"work and human resource education";2011
231;"comparative studies in discourse and society";2009
96;"human resources and industrial relations";2012
184;"biomedical engineering";2010
148;"health informatics";2010
131;"electrical engineering";2012
92;"educational psychology";2012
74;"physics";2011
186;"philosophy";2008
138;"organizational leadership policy and development";2014
117;"educational psychology";2012
138;"health services research policy and administration";2012
173;"civil engineering";2011
135;"food science";2009
229;"communication studies";2010
97;"civil engineering";2009
117;"electrical engineering";2009
283;"american studies";2010
117;"computer science";2013
134;"electrical engineering";2010
183;"history";2010
163;"educational psychology";2013
134;"electrical engineering";2010
261;"geography";2012
208;"material science and engineering";2012
207;"human resources and industrial relations";2009
103;"computer science";2014
247;"communication studies";2012
166;"business administration";2010
169;"aerospace engineering and mechanics";2009
183;"english";2012
124;"applied economics";2011
129;"educational policy and administration";2013
230;"educational policy and administration";2012
124;"educational policy and administration";2011
200;"sociology";2010
106;"electrical engineering";2010
95;"mechanical engineering";2011
128;"family social science";2013
68;"business administration";2013
187;"conservation biology";2008
151;"conservation biology";2010
168;"nursing";2009
115;"neuroscience";2012
134;"educational psychology";2009
125;"plant pathology";2008
192;"anthropology";2009
153;"biomedical engineering";2011
125;"civil engineering";2013
176;"nutrition";2011
284;"theatre arts";2009
130;"geology";2012
159;"ecology evolution and behavior";2010
110;"educational psychology";2013
153;"chemistry";2009
129;"conservation biology";2013
122;"aerospace engineering and mechanics";2011
156;"biosystems and agricultural engineering";2011
172;"design housing and apparel";2009
133;"educational psychology";2013
182;"work community and family education";2013
160;"environmental health";2012
83;"family social science";2013
133;"food science";2012
182;"nursing";2011
161;"ecology evolution and behavior";2012
70;"nursing";2011
123;"comparative and molecular biosciences";2010
250;"rehabilitation science";2009
265;"food science";2011
142;"speech-language-hearing sciences";2011
130;"computer science";2014
170;"oral biology";2012
177;"epidemiology";2010
165;"veterinary medicine";2013
203;"chemical engineering";2009
398;"educational policy and administration";2013
112;"ecology evolution and behavior";2012
206;"medicinal chemistry";2012
144;"microbiology immunology and cancer biology";2012
132;"plant biological sciences";2008
114;"economics";2009
188;"civil engineering";2011
109;"work and human resource education";2013
99;"kinesiology";2010
126;"educational psychology";2009
225;"hispanic and luso literatures cultures and linguistics";2012
86;"economics";2012
102;"economics";2009
104;"natural resources science and management";2013
203;"hispanic and luso literatures cultures and linguistics";2013
76;"economics";2009
146;"educational policy and administration";2013
398;"hispanic and luso-brazilian literatures and linguistics";2012
160;"applied economics";2011
265;"educational psychology";2012
192;"educational psychology";2014
285;"english";2013
439;"chemistry";2011
145;"veterinary medicine";2009
150;"psychology";2013
127;"child psychology";2012
408;"music";2012
197;"education work/community/family education";2009
111;"family social science";2012
177;"educational psychology";2012
216;"sociology";2012
163;"experimental and clinical pharmacology";2012
150;"astrophysics";2009
182;"scientific computation";2013
252;"social and administrative pharmacy";2013
91;"kinesiology";2009
100;"pharmacology";2012
128;"mathematics";2009
235;"neuroscience";2009
118;"economics";2013
108;"ecology evolution and behavior";2012
98;"applied plant sciences";2009
127;"electrical engineering";2011
144;"social administrative and clinical pharmacy";2008
173;"teaching and learning";2012
287;"geography";2012
86;"health services research policy and administration";2009
83;"economics";2008
134;"computer science";2010
147;"epidemiology";2010
201;"communication studies";2011
193;"work and human resource education";2013
219;"biomedical engineering";2010
376;"feminist studies";2013
233;"neuroscience";2011
236;"education curriculum and instruction";2013
184;"epidemiology";2010
134;"material science and engineering";2010
144;"economics";2009
196;"computer science";2009
171;"electrical engineering";2011
192;"chemistry";2013
159;"biomedical engineering";2010
288;"history";2011
232;"material science and engineering";2009
127;"physics";2010
104;"statistics";2012
100;"biostatistics";2013
259;"biomedical engineering";2009
172;"geology";2009
106;"social work";2009
167;"applied plant sciences";2010
55;"applied plant sciences";2009
211;"educational policy and administration";2013
104;"neuroscience";2011
90;"animal sciences";2010
121;"educational psychology";2011
220;"chemistry";2009
87;"health informatics";2013
103;"mechanical engineering";2011
199;"mechanical engineering";2010
104;"educational psychology";2013
212;"molecular cellular developmental biology and genetics";2011
145;"biochemistry molecular biology and biophysics";2012
227;"feminist studies";2010
178;"applied economics";2013
151;"food science";2012
173;"electrical engineering";2012
204;"psychology";2009
134;"pharmacology";2013
161;"education curriculum and instruction";2013
88;"mechanical engineering";2013
122;"natural resources science and management";2013
